year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_7,partido_8,partido_99
2012,43042,Castellvell del Camp,Tarragona,2085,CiU,43.65,#1e4a8e,Nacionalismo/independentismo,67.52,#18a1cd,43.65,6.74,17.39,11.81,5.13,4.94,1.54,2.89
2012,43043,El Catllar,Tarragona,3058,CiU,29.67,#1e4a8e,Nacionalismo/independentismo,49.13,#18a1cd,29.67,12.6,13.96,13.28,8.03,3.45,1.95,4.24
2012,43044,La Sénia,Tarragona,3962,PP,23.55,#0393d3,No nacionalistas,52.78,#fa8c00,21.2,14.78,16.16,23.55,7.84,3.35,1.29,3.46
2012,43045,Colldejou,Tarragona,149,CiU,53.66,#1e4a8e,Nacionalismo/independentismo,85.37,#18a1cd,53.66,4.07,28.46,0.81,7.32,2.44,0.81,0
2012,43046,Conesa,Tarragona,111,CiU,45.98,#1e4a8e,Nacionalismo/independentismo,82.76,#18a1cd,45.98,5.75,25.29,3.45,1.15,10.34,1.15,1.15
2012,43047,Constantí,Tarragona,4070,PSC,21.97,#da1f35,No nacionalistas,59.66,#fa8c00,21.08,21.97,12.71,19,6.97,2.04,2.25,3.09
2012,43048,Corbera d'Ebre,Tarragona,820,CiU,31.25,#1e4a8e,Nacionalismo/independentismo,59.19,#18a1cd,31.25,9.74,23.9,18.01,6.99,2.94,1.1,2.74
2012,43049,Cornudella de Montsant,Tarragona,789,CiU,49.76,#1e4a8e,Nacionalismo/independentismo,83.63,#18a1cd,49.76,6.2,25.44,3.5,4.29,6.68,1.75,0.64
2012,43050,Creixell,Tarragona,2419,CiU,27.61,#1e4a8e,No nacionalistas,56.14,#fa8c00,27.61,17.31,11.3,18.98,7.49,1.6,1.34,3.4
2012,43051,Cunit,Tarragona,8727,PSC,21.08,#da1f35,No nacionalistas,66.95,#fa8c00,19.78,21.08,8.78,20.1,9.95,1.96,0.94,5.05
2012,43052,Xerta,Tarragona,993,CiU,33.15,#1e4a8e,Nacionalismo/independentismo,64.76,#18a1cd,33.15,13.71,24.48,6.71,8.11,5.17,1.96,2.52
2012,43053,Duesaigües,Tarragona,205,CiU,50,#1e4a8e,Nacionalismo/independentismo,76.59,#18a1cd,50,8.86,18.99,5.06,6.33,3.8,3.8,1.26
2012,43054,L'Espluga de Francolí,Tarragona,2827,CiU,47.4,#1e4a8e,Nacionalismo/independentismo,77.29,#18a1cd,47.4,6.73,24.49,7.32,3.56,2.23,3.17,1.64
2012,43055,Falset,Tarragona,1972,CiU,44.52,#1e4a8e,Nacionalismo/independentismo,76.47,#18a1cd,44.52,9.7,24.78,4.98,5.25,5.91,1.26,0.99
2012,43056,La Fatarella,Tarragona,911,CiU,33.1,#1e4a8e,Nacionalismo/independentismo,71.3,#18a1cd,33.1,6.51,29.4,9.15,7.92,5.81,2.99,1.24
2012,43057,La Febró,Tarragona,45,CiU,42.86,#1e4a8e,Nacionalismo/independentismo,77.14,#18a1cd,42.86,5.71,28.57,2.86,5.71,5.71,0,5.71
2012,43058,La Figuera,Tarragona,95,CiU,43.48,#1e4a8e,Nacionalismo/independentismo,82.61,#18a1cd,43.48,0,33.33,4.35,11.59,0,5.8,0
2012,43059,Figuerola del Camp,Tarragona,265,CiU,53.24,#1e4a8e,Nacionalismo/independentismo,81.48,#18a1cd,53.24,5.09,23.15,2.78,5.09,4.63,0.46,2.31
2012,43060,Flix,Tarragona,3029,CiU,34.18,#1e4a8e,Nacionalismo/independentismo,67.89,#18a1cd,34.18,13.85,25.25,7.04,6.67,3.31,5.06,2.12
2012,43061,Forès,Tarragona,50,CiU,67.65,#1e4a8e,Nacionalismo/independentismo,79.41,#18a1cd,67.65,0,8.82,11.76,0,2.94,0,0
2012,43062,Freginals,Tarragona,288,CiU,39.19,#1e4a8e,Nacionalismo/independentismo,59.46,#18a1cd,39.19,12.61,15.32,14.86,4.95,3.15,1.8,3.15
2012,43063,La Galera,Tarragona,578,CiU,35.96,#1e4a8e,Nacionalismo/independentismo,61.8,#18a1cd,35.96,8.99,21.07,16.01,4.49,3.93,0.84,3.3600000000000003
2012,43064,Gandesa,Tarragona,2035,CiU,45.23,#1e4a8e,Nacionalismo/independentismo,67.91,#18a1cd,45.23,8.19,17.94,12.73,4.13,3.72,1.02,2.18
2012,43065,Garcia,Tarragona,422,CiU,48.04,#1e4a8e,Nacionalismo/independentismo,78.44,#18a1cd,48.04,7.52,25.49,7.19,2.94,4.58,0.33,1.32
2012,43066,Els Garidells,Tarragona,166,CiU,49.58,#1e4a8e,Nacionalismo/independentismo,73.95,#18a1cd,49.58,15.13,21.85,4.2,2.52,1.68,0.84,2.52
2012,43067,Ginestar,Tarragona,602,CiU,44.92,#1e4a8e,Nacionalismo/independentismo,76.68,#18a1cd,44.92,9.07,27.43,4.32,5.18,2.81,1.3,1.74
2012,43068,Godall,Tarragona,567,PSC,25.96,#da1f35,No nacionalistas,57.79,#fa8c00,21.83,25.96,12.68,25.37,2.06,2.36,2.06,2.34
2012,43069,Gratallops,Tarragona,185,CiU,33.96,#1e4a8e,Nacionalismo/independentismo,71.7,#18a1cd,33.96,7.55,23.9,11.95,3.77,8.81,4.4,1.89
2012,43070,Els Guiamets,Tarragona,254,CiU,28.85,#1e4a8e,Nacionalismo/independentismo,70.67,#18a1cd,28.85,8.65,21.63,8.65,9.13,18.75,1.44,1.44
2012,43071,Horta de Sant Joan,Tarragona,956,CiU,44.03,#1e4a8e,Nacionalismo/independentismo,68.18,#18a1cd,44.03,6.11,19.18,17.61,3.69,4.12,0.85,0.8400000000000001
2012,43072,El Lloar,Tarragona,95,CiU,51.95,#1e4a8e,Nacionalismo/independentismo,79.23,#18a1cd,51.95,3.9,22.08,10.39,1.3,3.9,1.3,0
2012,43073,Llorac,Tarragona,93,CiU,55.88,#1e4a8e,Nacionalismo/independentismo,77.94,#18a1cd,55.88,0,16.18,4.41,7.35,2.94,2.94,7.35
2012,43074,Llorenç del Penedès,Tarragona,1710,CiU,44.82,#1e4a8e,Nacionalismo/independentismo,69.9,#18a1cd,44.82,7.28,17.23,6.72,5.66,5.42,2.35,3.31
2012,43075,Margalef,Tarragona,96,CiU,56.72,#1e4a8e,Nacionalismo/independentismo,77.62,#18a1cd,56.72,8.96,14.93,1.49,4.48,4.48,1.49,0
2012,43076,Marçà,Tarragona,458,CiU,32.79,#1e4a8e,Nacionalismo/independentismo,78.42,#18a1cd,32.79,5.74,26.78,2.73,9.56,15.57,3.28,0.54
2012,43077,Mas de Barberans,Tarragona,477,PSC,37.12,#da1f35,No nacionalistas,64.12,#fa8c00,20.25,37.12,9.2,22.7,1.23,4.6,0.61,0.92
2012,43078,Masdenverge,Tarragona,853,CiU,47.14,#1e4a8e,Nacionalismo/independentismo,68.46,#18a1cd,47.14,8.67,15.25,11.27,2.25,3.47,2.43,2.07
2012,43079,Masllorenç,Tarragona,386,CiU,57.14,#1e4a8e,Nacionalismo/independentismo,78.75,#18a1cd,57.14,6.59,17.58,4.03,4.76,1.83,2.2,2.5700000000000003
2012,43080,La Masó,Tarragona,247,CiU,44.97,#1e4a8e,Nacionalismo/independentismo,73.54,#18a1cd,44.97,4.23,21.16,11.11,4.76,4.76,2.65,0
2012,43081,Maspujols,Tarragona,584,CiU,50.11,#1e4a8e,Nacionalismo/independentismo,76.87,#18a1cd,50.11,5.22,16.78,4.99,2.72,7.94,2.04,3.86
2012,43082,El Masroig,Tarragona,377,CiU,46.51,#1e4a8e,Nacionalismo/independentismo,78.74,#18a1cd,46.51,7.64,23.26,8.31,3.32,8.31,0.33,0.99
2012,43083,El Milà,Tarragona,140,CiU,43.43,#1e4a8e,Nacionalismo/independentismo,62.62,#18a1cd,43.43,8.08,17.17,15.15,8.08,1.01,1.01,0
2012,43084,Miravet,Tarragona,563,ERC,36.23,#e5ab4b,Nacionalismo/independentismo,73.91,#18a1cd,31.64,7.97,36.23,4.59,7,2.9,3.14,2.41
2012,43085,El Molar,Tarragona,238,CiU,43.72,#1e4a8e,Nacionalismo/independentismo,74.87,#18a1cd,43.72,9.29,22.95,6.56,7.1,6.01,2.19,1.1
2012,43086,Montblanc,Tarragona,5250,CiU,35.31,#1e4a8e,Nacionalismo/independentismo,72.37,#18a1cd,35.31,7.98,31.06,5.31,7.82,3.85,2.12,2
2012,43088,Montbrió del Camp,Tarragona,1852,CiU,43.14,#1e4a8e,Nacionalismo/independentismo,72.18,#18a1cd,43.14,4.73,23.17,9.22,5.49,3.96,1.91,3.04
2012,43089,Montferri,Tarragona,276,CiU,38.92,#1e4a8e,Nacionalismo/independentismo,58.91,#18a1cd,38.92,12.97,11.89,11.35,7.57,4.86,2.16,4.32
2012,43090,El Montmell,Tarragona,1137,PSC,23.21,#da1f35,No nacionalistas,65.44,#fa8c00,19.72,23.21,10.3,17.45,9.77,0.87,1.75,5.06
2012,43091,Mont-ral,Tarragona,136,CiU,34.31,#1e4a8e,Nacionalismo/independentismo,69.61,#18a1cd,34.31,3.92,17.65,8.82,11.76,15.69,1.96,1.96
