year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_6,partido_7,partido_8,partido_99
1988,08095,Granera,Barcelona,45,CiU,87.88,#1e4a8e,Nacionalismo/independentismo,96.97,#18a1cd,87.88,0,0,3.03,9.09,0,NA,NA,0
1988,08096,Granollers,Barcelona,35767,CiU,49.23,#1e4a8e,Nacionalismo/independentismo,52.71,#18a1cd,49.23,32.87,4.01,3.35,3.48,3.14,NA,NA,3.39
1988,08097,Gualba,Barcelona,454,CiU,70.94,#1e4a8e,Nacionalismo/independentismo,73.13,#18a1cd,70.94,18.44,2.5,2.19,2.19,2.19,NA,NA,1.55
1988,08098,Sant Salvador de Guardiola,Barcelona,673,CiU,72.1,#1e4a8e,Nacionalismo/independentismo,76.56,#18a1cd,72.1,14.73,0.67,3.57,4.46,2.9,NA,NA,1.12
1988,08099,Guardiola de Berguedà,Barcelona,1050,CiU,63.59,#1e4a8e,Nacionalismo/independentismo,68.01,#18a1cd,63.59,22.76,3.25,2.21,4.42,1.82,NA,NA,1.82
1988,08100,Gurb,Barcelona,1264,CiU,81.64,#1e4a8e,Nacionalismo/independentismo,89,#18a1cd,81.64,3.52,1.92,2.88,7.36,0.96,NA,NA,1.39
1988,08101,L'Hospitalet de Llobregat,Barcelona,208386,PSC,46.57,#da1f35,No nacionalistas,72.64,#fa8c00,24.85,46.57,11.33,4.81,1.94,6.59,NA,NA,3.34
1988,08102,Igualada,Barcelona,23827,CiU,59.84,#1e4a8e,Nacionalismo/independentismo,65.7,#18a1cd,59.84,23.01,2.53,4.26,5.86,1.97,NA,NA,1.96
1988,08103,Jorba,Barcelona,430,CiU,83.92,#1e4a8e,Nacionalismo/independentismo,84.97,#18a1cd,83.92,7.34,1.05,2.1,1.05,1.05,NA,NA,2.8
1988,08104,La Llacuna,Barcelona,582,CiU,67.99,#1e4a8e,Nacionalismo/independentismo,75.64,#18a1cd,67.99,10.48,1.7,6.8,7.65,2.55,NA,NA,1.7
1988,08105,La Llagosta,Barcelona,8593,PSC,51.78,#da1f35,No nacionalistas,75.13,#fa8c00,23.28,51.78,14.61,2.84,1.13,3.33,NA,NA,2.57
1988,08106,Llinars del Vallès,Barcelona,3624,CiU,52.47,#1e4a8e,Nacionalismo/independentismo,58.4,#18a1cd,52.47,30.67,1.92,3.34,5.93,2.63,NA,NA,2.4
1988,08107,Lliçà d'Amunt,Barcelona,2948,CiU,57.13,#1e4a8e,Nacionalismo/independentismo,63.46,#18a1cd,57.13,20.6,3.34,6.09,6.33,3.28,NA,NA,2.58
1988,08108,Lliçà de Vall,Barcelona,1633,CiU,63.73,#1e4a8e,Nacionalismo/independentismo,66.15,#18a1cd,63.73,21.95,4.06,2.51,2.42,2.61,NA,NA,2.52
1988,08109,Lluçà,Barcelona,230,CiU,79.75,#1e4a8e,Nacionalismo/independentismo,92.02,#18a1cd,79.75,1.84,0.61,2.45,12.27,1.23,NA,NA,1.22
1988,08110,Malgrat de Mar,Barcelona,8231,CiU,50.72,#1e4a8e,Nacionalismo/independentismo,55.98,#18a1cd,50.72,27.32,7.16,3.73,5.26,2.2,NA,NA,3.15
1988,08111,Malla,Barcelona,201,CiU,77.78,#1e4a8e,Nacionalismo/independentismo,84.57,#18a1cd,77.78,3.7,3.7,1.23,6.79,1.23,NA,NA,3.71
1988,08112,Manlleu,Barcelona,12319,CiU,59.04,#1e4a8e,Nacionalismo/independentismo,65.61,#18a1cd,59.04,21.4,6.21,2.3,6.57,1.55,NA,NA,2.37
