year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_8,por_voto_partido_99
2021,25037,Les Avellanes i Santa Linya,Lleida,368,ERC,37.56,#e5ab4b,Nacionalismo/independentismo,82.22,#18a1cd,17,74,57,7,3,19,2,12,8.63,37.56,28.93,3.55,1.52,9.64,1.02,6.09
2021,25038,Aitona,Lleida,1416,Otros,32.66,#404142,Nacionalismo/independentismo,73.56,#18a1cd,78,193,138,31,18,26,75,298,8.81,21.81,15.59,3.5,2.03,2.94,8.47,33.669999999999995
2021,25039,Baix Pallars,Lleida,279,JxCat,29.02,#00c4b2,Nacionalismo/independentismo,75.65,#18a1cd,22,48,56,2,14,32,2,12,11.4,24.87,29.02,1.04,7.25,16.58,1.04,6.22
2021,25040,Balaguer,Lleida,10686,ERC,29.32,#e5ab4b,Nacionalismo/independentismo,67.18,#18a1cd,866,1534,1392,260,146,340,172,288,16.55,29.32,26.61,4.97,2.79,6.5,3.29,5.49
2021,25041,Barbens,Lleida,523,ERC,34.77,#e5ab4b,Nacionalismo/independentismo,78.87,#18a1cd,27,97,90,8,4,15,5,21,9.68,34.77,32.26,2.87,1.43,5.38,1.79,7.539999999999999
2021,25042,La Baronia de Rialb,Lleida,202,Otros,40.29,#404142,Nacionalismo/independentismo,89.93,#18a1cd,8,34,31,1,2,4,1,56,5.76,24.46,22.3,0.72,1.44,2.88,0.72,40.29
2021,25043,La Vall de Boí,Lleida,819,ERC,32.92,#e5ab4b,Nacionalismo/independentismo,81.57,#18a1cd,33,159,144,4,29,68,8,31,6.83,32.92,29.81,0.83,6,14.08,1.66,6.409999999999999
2021,25044,Bassella,Lleida,180,JxCat,29.92,#00c4b2,Nacionalismo/independentismo,80.32,#18a1cd,10,23,38,3,3,13,6,28,7.87,18.11,29.92,2.36,2.36,10.24,4.72,22.05
2021,25045,Bausen,Lleida,59,Empate,20.83,#ADA9AC,No nacionalistas,49.99,#fa8c00,5,3,2,0,3,5,2,1,20.83,12.5,8.33,0,12.5,20.83,8.33,4.17
2021,25046,Belianes,Lleida,408,Empate,27.97,#ADA9AC,Nacionalismo/independentismo,75.1,#18a1cd,30,73,73,7,2,43,15,9,11.49,27.97,27.97,2.68,0.77,16.48,5.75,3.44
2021,25047,Bellcaire d'Urgell,Lleida,946,ERC,39.61,#e5ab4b,Nacionalismo/independentismo,82.41,#18a1cd,53,261,187,16,8,50,18,46,8.04,39.61,28.38,2.43,1.21,7.59,2.73,6.98
2021,25048,Bell-lloc d'Urgell,Lleida,1639,ERC,31.25,#e5ab4b,Nacionalismo/independentismo,75.71,#18a1cd,118,305,295,33,18,49,21,99,12.09,31.25,30.23,3.38,1.84,5.02,2.15,10.13
2021,25049,Bellmunt d'Urgell,Lleida,150,Otros,29.29,#404142,Nacionalismo/independentismo,86.86,#18a1cd,4,25,24,5,0,7,0,32,4.04,25.25,24.24,5.05,0,7.07,0,32.32
2021,25050,Bellpuig,Lleida,3269,JxCat,32.93,#00c4b2,Nacionalismo/independentismo,80.33,#18a1cd,183,576,601,37,42,168,37,133,10.03,31.56,32.93,2.03,2.3,9.21,2.03,7.27
2021,25051,Bellver de Cerdanya,Lleida,1619,JxCat,32.71,#00c4b2,Nacionalismo/independentismo,74.63,#18a1cd,124,240,316,23,35,118,22,56,12.84,24.84,32.71,2.38,3.62,12.22,2.28,5.79
2021,25052,Bellvís,Lleida,1555,ERC,37.76,#e5ab4b,Nacionalismo/independentismo,85.98,#18a1cd,65,361,351,15,21,78,12,34,6.8,37.76,36.72,1.57,2.2,8.16,1.26,3.5500000000000003
2021,25053,Benavent de Segrià,Lleida,1111,ERC,29.08,#e5ab4b,Nacionalismo/independentismo,72.71,#18a1cd,86,196,180,32,14,46,19,71,12.76,29.08,26.71,4.75,2.08,6.82,2.82,10.55
2021,25055,Biosca,Lleida,161,JxCat,48.91,#00c4b2,Nacionalismo/independentismo,73.9,#18a1cd,9,12,45,2,3,4,3,9,9.78,13.04,48.91,2.17,3.26,4.35,3.26,9.77
2021,25056,Bovera,Lleida,207,JxCat,43.1,#00c4b2,Nacionalismo/independentismo,76.72,#18a1cd,12,28,50,3,2,9,0,3,10.34,24.14,43.1,2.59,1.72,7.76,0,2.58
2021,25057,Es Bòrdes,Lleida,222,PSC,20.39,#da1f35,No nacionalistas,57.28,#fa8c00,21,19,12,14,10,10,4,4,20.39,18.45,11.65,13.59,9.71,9.71,3.88,3.88
