cod_mun,municipio,provincia,poblacion,partido_ganador,por_votos,siglas_partido,color,partido_mapa
02072,Socovos,Albacete,1743,PARTIDO POPULAR,47.01,PP,#009ade,PP
02073,Tarazona de la Mancha,Albacete,6183,PARTIDO SOCIALISTA OBRERO ESPAÑOL,49.08,PSOE,#da1f35,PSOE
02074,Tobarra,Albacete,7758,PARTIDO POPULAR,38.14,PP,#009ade,PP
02075,Valdeganga,Albacete,1919,PARTIDO SOCIALISTA OBRERO ESPAÑOL,58.59,PSOE,#da1f35,PSOE
02076,Vianos,Albacete,313,PARTIDO SOCIALISTA OBRERO ESPAÑOL,61.6,PSOE,#da1f35,PSOE
02077,Villa de Ves,Albacete,60,PARTIDO POPULAR,67.39,PP,#009ade,PP
02078,Villalgordo del Júcar,Albacete,1072,PARTIDO SOCIALISTA OBRERO ESPAÑOL,49.93,PSOE,#da1f35,PSOE
02079,Villamalea,Albacete,4000,PARTIDO POPULAR,47.96,PP,#009ade,PP
02080,Villapalacios,Albacete,555,PARTIDO POPULAR,64.34,PP,#009ade,PP
02081,Villarrobledo,Albacete,24886,PARTIDO POPULAR,48.1,PP,#009ade,PP
02082,Villatoya,Albacete,106,PARTIDO SOCIALISTA OBRERO ESPAÑOL,60.98,PSOE,#da1f35,PSOE
02083,Villavaliente,Albacete,202,PARTIDO POPULAR,47.78,PP,#009ade,PP
02084,Villaverde de Guadalimar,Albacete,321,PARTIDO SOCIALISTA OBRERO ESPAÑOL,45.5,PSOE,#da1f35,PSOE
02085,Viveros,Albacete,335,AGRUPACÓN INDEPENDIENTE DE VIVEROS,41.98,AIV,#757a88,Otros
02086,Yeste,Albacete,2495,PARTIDO POPULAR,49.36,PP,#009ade,PP
02901,Pozo Cañada,Albacete,2763,PARTIDO SOCIALISTA OBRERO ESPAÑOL,62.39,PSOE,#da1f35,PSOE
03001,L'Atzúbia,Alicante,616,INICIATIVA PER L'ATZUVIA I FORNA,65.62,IAF,#7f8879,Otros
03002,Agost,Alicante,4948,PARTIDO POPULAR,54.56,PP,#009ade,PP
03003,Agres,Alicante,589,PARTIDO POPULAR,47.6,PP,#009ade,PP
03004,Aigües,Alicante,1085,PARTIDO SOCIALISTA OBRERO ESPAÑOL,67.55,PSOE,#da1f35,PSOE
03005,Albatera,Alicante,12864,PARTIDO POPULAR,61.11,PP,#009ade,PP
03006,Alcalalí,Alicante,1349,ACORD PER GUANYAR,55.43,ACORD PER GUANYAR,#e07c2c,Compromís
03007,Alcocer de Planes,Alicante,254,PP / PSOE,46.26,EMPATE,#82757f,Otros
03008,Alcoleja,Alicante,196,PARTIDO SOCIALISTA OBRERO ESPAÑOL,58.33,PSOE,#da1f35,PSOE
03009,Alcoy/Alcoi,Alicante,58960,PARTIDO SOCIALISTA OBRERO ESPAÑOL,29.71,PSOE,#da1f35,PSOE
03010,Alfafara,Alicante,417,GENT PER ALFAFARA,57.43,GXA,#7d8781,Otros
03011,L'Alfàs del Pi,Alicante,20668,PARTIDO SOCIALISTA OBRERO ESPAÑOL,64.42,PSOE,#da1f35,PSOE
03012,Algorfa,Alicante,3513,PARTIDO SOCIALISTA OBRERO ESPAÑOL,67.13,PSOE,#da1f35,PSOE
03013,Algueña,Alicante,1351,PARTIDO SOCIALISTA OBRERO ESPAÑOL,50.71,PSOE,#da1f35,PSOE
03014,Alicante/Alacant,Alicante,338577,PARTIDO POPULAR,40.74,PP,#009ade,PP
03015,Almoradí,Alicante,21401,PARTIDO POPULAR,51.62,PP,#009ade,PP
03016,Almudaina,Alicante,112,PARTIDO POPULAR,55.13,PP,#009ade,PP
03017,L'Alqueria d'Asnar,Alicante,489,PARTIDO SOCIALISTA OBRERO ESPAÑOL,48.16,PSOE,#da1f35,PSOE
03018,Altea,Alicante,23010,COMPROMÍS PER ALTEA: ACORD PER GUANYAR,38.08,COMPROMÍS PER ALTEA: ACORD PER GUANYAR,#e07c2c,Compromís
03019,Aspe,Alicante,21191,ESQUERRA UNIDA: ADELANTE,43.88,EUPV:ADELANTE,#b865c1,Podemos
03020,Balones,Alicante,126,PARTIDO SOCIALISTA OBRERO ESPAÑOL,71.43,PSOE,#da1f35,PSOE
03021,Banyeres de Mariola,Alicante,7201,ACORD PER GUANYAR,41.73,ACORD PER GUANYAR,#e07c2c,Compromís
03022,Benasau,Alicante,171,PARTIDO POPULAR,52,PP,#009ade,PP
