cod_ine,mun,pob,nombre_completo,partido_alcalde,partido_ganador,segundo,gobierna
28091,Morata de Tajuña,7924,Ángel Marcelo Sánchez Sacristán,PSOE,PSOE,PP,Lista más votada
28092,Móstoles,209639,Noelia Posse Gómez,PSOE,PSOE,PP,Lista más votada
28093,Navacerrada,3220,Ana Paula Espinosa Izquierdo,PSOE,PSOE,PP,Lista más votada
28094,Navalafuente,1573,Miguel Méndez Martiáñez,PP,PP,Cs,Lista más votada
28095,Navalagamella,2720,Andres Samperio Montejano,PP,PP,IN,Lista más votada
28096,Navalcarnero,30695,José Luis Adell Fernández,PSOE,PSOE,Cs,Lista más votada
28097,Navarredonda y San Mamés,141,Jose Maria Fernandez Martin,AINS,AINS,-,Lista más votada
28099,Navas del Rey,3062,Jaime Peral Pedrero,CASEROS,CASEROS,P.S.O.E.,Lista más votada
28100,Nuevo Baztán,6630,Gema Pacheco Huecas,PSOE,PP,P.S.O.E.,Otro
28101,Olmeda de las Fuentes,357,María Victoria Roldán Prieto,CIO,CIO,PP,Lista más votada
28102,Orusco de Tajuña,1291,Esteban Heras Ruiz,PSOE,PSOE,PP,Lista más votada
28104,Paracuellos de Jarama,26235,Jorge Alberto Campos Astrua,Cs,Cs,ICxP,Lista más votada
28106,Parla,131689,Ramón Jurado Rodríguez,PSOE,PSOE,PP,Lista más votada
28107,Patones,524,Óscar Sanz García,PSOE,PSOE,PP,Lista más votada
28108,Pedrezuela,6226,Rafael Turnes García,PODEMOS-SOMOSV,PODEMOS-SOMOSV,P.S.O.E.,Lista más votada
28109,Pelayos de la Presa,2827,Antonio Sin Hernandez,PP,PP,P.S.O.E.,Lista más votada
28110,Perales de Tajuña,3059,Yolanda Cuenca Redondo,PP,PP,PSOE,Lista más votada
28111,Pezuela de las Torres,927,José Pío Carmena Servert,IDP,IU,IDP,Otro
28112,Pinilla del Valle,196,Maria Del Mar Fernandez Garcia,AVPV,AVPV,PP,Lista más votada
28113,Pinto,53537,Juan Diego Ortiz González,PSOE,PSOE,PP,Lista más votada
28114,Piñuécar-Gandullas,185,Juan José Suárez Del Pozo,PP,PP,U.P.G.,Lista más votada
