cod_ine,municipio,provincia,poblacion,partido_ganador,por_votos,color_ganador,color_code_ganador,alcalde,partido_alcalde,color_alcalde,color_code_alcalde,gobierna
25174,La Portella,Lleida,718,Junts,65,JUNTS,#00c4b2,Carlos Catala I Visa,Junts,JUNTS,#00c4b2,Lista más votada
25175,Prats i Sansor,Lleida,260,Junts,85.92,JUNTS,#00c4b2,Xavier Picas I Pons,Junts,JUNTS,#00c4b2,Lista más votada
25175,Prats i Sansor,Lleida,260,Junts,85.92,JUNTS,#00c4b2,Xavier Picas I Pons,Junts,JUNTS,#00c4b2,Lista más votada
25176,Preixana,Lleida,404,Junts,83.72,JUNTS,#00c4b2,Jaume Pané Roig,Junts,JUNTS,#00c4b2,Lista más votada
25176,Preixana,Lleida,404,Junts,83.72,JUNTS,#00c4b2,Jaume Pané Roig,Junts,JUNTS,#00c4b2,Lista más votada
25177,Preixens,Lleida,422,ARA,89.38,ARA,#283680,Joan Eroles Viles,ARA,ARA,#283680,Lista más votada
25179,Prullans,Lleida,264,Junts,66.46,JUNTS,#00c4b2,Albert Maurell Ribot,Junts,JUNTS,#00c4b2,Lista más votada
25179,Prullans,Lleida,264,Junts,66.46,JUNTS,#00c4b2,Albert Maurell Ribot,Junts,JUNTS,#00c4b2,Lista más votada
25180,Puiggròs,Lleida,257,Junts,93.33,JUNTS,#00c4b2,Albert Bellart Queralt,Junts,JUNTS,#00c4b2,Lista más votada
25180,Puiggròs,Lleida,257,Junts,93.33,JUNTS,#00c4b2,Albert Bellart Queralt,Junts,JUNTS,#00c4b2,Lista más votada
25181,Puigverd d'Agramunt,Lleida,253,Junts,88,JUNTS,#00c4b2,Joan Eroles I Samarra,Junts,JUNTS,#00c4b2,Lista más votada
25181,Puigverd d'Agramunt,Lleida,253,Junts,88,JUNTS,#00c4b2,Joan Eroles I Samarra,Junts,JUNTS,#00c4b2,Lista más votada
25182,Puigverd de Lleida,Lleida,1398,Junts,51.16,JUNTS,#00c4b2,Josep J. Solsona Batlle,Junts,JUNTS,#00c4b2,Lista más votada
25182,Puigverd de Lleida,Lleida,1398,Junts,51.16,JUNTS,#00c4b2,Josep J. Solsona Batlle,Junts,JUNTS,#00c4b2,Lista más votada
25183,Rialp,Lleida,675,Junts,73.95,JUNTS,#00c4b2,Gerard Sabarich Fernández-Coto,Junts,JUNTS,#00c4b2,Lista más votada
25185,Ribera d'Urgellet,Lleida,920,Junts,69.34,JUNTS,#00c4b2,Josefina Lladós Torrent,Junts,JUNTS,#00c4b2,Lista más votada
25185,Ribera d'Urgellet,Lleida,920,Junts,69.34,JUNTS,#00c4b2,Josefina Lladós Torrent,Junts,JUNTS,#00c4b2,Lista más votada
25186,Riner,Lleida,280,Junts,61.27,JUNTS,#00c4b2,Joan Solà Bosch,Junts,JUNTS,#00c4b2,Lista más votada
25186,Riner,Lleida,280,Junts,61.27,JUNTS,#00c4b2,Joan Solà Bosch,Junts,JUNTS,#00c4b2,Lista más votada
25189,Rosselló,Lleida,3278,Junts,44.53,JUNTS,#00c4b2,Joan Andreu Urbano Fernandez,Junts,JUNTS,#00c4b2,Lista más votada
25189,Rosselló,Lleida,3278,Junts,44.53,JUNTS,#00c4b2,Joan Andreu Urbano Fernandez,Junts,JUNTS,#00c4b2,Lista más votada
25190,Salàs de Pallars,Lleida,345,PSOE,46.27,PSOE,#da1f35,NA,NA,NA,NA,NA
25191,Sanaüja,Lleida,392,Junts,74.47,JUNTS,#00c4b2,Maria Casoliva Zaldo,Junts,JUNTS,#00c4b2,Lista más votada
25191,Sanaüja,Lleida,392,Junts,74.47,JUNTS,#00c4b2,Maria Casoliva Zaldo,Junts,JUNTS,#00c4b2,Lista más votada
25192,Sant Guim de Freixenet,Lleida,1120,ERC,77.62,ERC,#e5ab4b,Francesc D'assís Lluch Majoral,ERC,ERC,#e5ab4b,Lista más votada
25193,Sant Llorenç de Morunys,Lleida,1000,ERC,92.65,ERC,#e5ab4b,Francesc Riu Canudas,ERC,ERC,#e5ab4b,Lista más votada
25194,Sant Ramon,Lleida,480,Junts,67.77,JUNTS,#00c4b2,Josep Maria Ribera Currià,Junts,JUNTS,#00c4b2,Lista más votada
25194,Sant Ramon,Lleida,480,Junts,67.77,JUNTS,#00c4b2,Josep Maria Ribera Currià,Junts,JUNTS,#00c4b2,Lista más votada
25196,Sant Esteve de la Sarga,Lleida,123,ERC,55.81,ERC,#e5ab4b,Jordi Navarra Torres,ERC,ERC,#e5ab4b,Lista más votada
25197,Sant Guim de la Plana,Lleida,182,ERC,62.66,ERC,#e5ab4b,Josep Llobet Condal,ERC,ERC,#e5ab4b,Lista más votada
25200,Sarroca de Lleida,Lleida,365,Junts,84.16,JUNTS,#00c4b2,Maria Teresa Cullerés Esteve,Junts,JUNTS,#00c4b2,Lista más votada
25200,Sarroca de Lleida,Lleida,365,Junts,84.16,JUNTS,#00c4b2,Maria Teresa Cullerés Esteve,Junts,JUNTS,#00c4b2,Lista más votada
25201,Sarroca de Bellera,Lleida,113,PSOE,45.98,PSOE,#da1f35,NA,NA,NA,NA,NA
25202,Senterada,Lleida,161,PSOE,73.24,PSOE,#da1f35,NA,NA,NA,NA,NA
25203,La Seu d'Urgell,Lleida,12261,PSOE,42.76,PSOE,#da1f35,Joan Barrera Aranda,PSOE,PSOE,#da1f35,Lista más votada
25204,Seròs,Lleida,1890,Junts,64.4,JUNTS,#00c4b2,Josep Antoni Romia Pujol,Junts,JUNTS,#00c4b2,Lista más votada
25204,Seròs,Lleida,1890,Junts,64.4,JUNTS,#00c4b2,Josep Antoni Romia Pujol,Junts,JUNTS,#00c4b2,Lista más votada
25205,Sidamon,Lleida,759,Junts,85.22,JUNTS,#00c4b2,Maria Dolors Tella Albareda,Junts,JUNTS,#00c4b2,Lista más votada
25205,Sidamon,Lleida,759,Junts,85.22,JUNTS,#00c4b2,Maria Dolors Tella Albareda,Junts,JUNTS,#00c4b2,Lista más votada
25206,El Soleràs,Lleida,330,ERC,68.45,ERC,#e5ab4b,Manel Marsan Segu,ERC,ERC,#e5ab4b,Lista más votada
25207,Solsona,Lleida,9131,ERC,35.58,ERC,#e5ab4b,Judit Gisbert Ester,ERC,ERC,#e5ab4b,Lista más votada
25208,Soriguera,Lleida,429,ERC,65.32,ERC,#e5ab4b,Josep Ramon Fondevilla Isus,ERC,ERC,#e5ab4b,Lista más votada
25209,Sort,Lleida,2192,ERC,42.62,ERC,#e5ab4b,Baldo Farré Serrat,ERC,ERC,#e5ab4b,Lista más votada
25210,Soses,Lleida,1784,ERC,43.02,ERC,#e5ab4b,NA,NA,NA,NA,NA
25211,Sudanell,Lleida,873,ERC,91.63,ERC,#e5ab4b,Eduard Oro Prim,ERC,ERC,#e5ab4b,Lista más votada
25212,Sunyer,Lleida,332,Junts,96.21,JUNTS,#00c4b2,Jaume Gort Quilez,Junts,JUNTS,#00c4b2,Lista más votada
25212,Sunyer,Lleida,332,Junts,96.21,JUNTS,#00c4b2,Jaume Gort Quilez,Junts,JUNTS,#00c4b2,Lista más votada
25215,Talarn,Lleida,562,ERC,93.08,ERC,#e5ab4b,Alejandro García Balust,ERC,ERC,#e5ab4b,Lista más votada
25216,Talavera,Lleida,291,Junts,65.83,JUNTS,#00c4b2,Ramon Trullols Bergadà,Junts,JUNTS,#00c4b2,Lista más votada
25216,Talavera,Lleida,291,Junts,65.83,JUNTS,#00c4b2,Ramon Trullols Bergadà,Junts,JUNTS,#00c4b2,Lista más votada
25217,Tàrrega,Lleida,17810,Junts,36.89,JUNTS,#00c4b2,NA,NA,NA,NA,NA
25218,Tarrés,Lleida,105,Junts,71.79,JUNTS,#00c4b2,Carles Móra Tuxans,Junts,JUNTS,#00c4b2,Lista más votada
25218,Tarrés,Lleida,105,Junts,71.79,JUNTS,#00c4b2,Carles Móra Tuxans,Junts,JUNTS,#00c4b2,Lista más votada
25219,Tarroja de Segarra,Lleida,175,Junts,72.12,JUNTS,#00c4b2,Inmaculada Secanell Viladot,Junts,JUNTS,#00c4b2,Lista más votada
25219,Tarroja de Segarra,Lleida,175,Junts,72.12,JUNTS,#00c4b2,Inmaculada Secanell Viladot,Junts,JUNTS,#00c4b2,Lista más votada
25220,Térmens,Lleida,1363,Junts,64.3,JUNTS,#00c4b2,Concep Cañadell I Salvia,Junts,JUNTS,#00c4b2,Lista más votada
25220,Térmens,Lleida,1363,Junts,64.3,JUNTS,#00c4b2,Concep Cañadell I Salvia,Junts,JUNTS,#00c4b2,Lista más votada
25221,Tírvia,Lleida,132,ERC,60,ERC,#e5ab4b,Joan Farrera Granja,ERC,ERC,#e5ab4b,Lista más votada
25222,Tiurana,Lleida,71,Junts,38.46,JUNTS,#00c4b2,Àngel Villarte Canes,Junts,JUNTS,#00c4b2,Lista más votada
25222,Tiurana,Lleida,71,Junts,38.46,JUNTS,#00c4b2,Àngel Villarte Canes,Junts,JUNTS,#00c4b2,Lista más votada
25223,Torà,Lleida,1224,Junts,51.83,JUNTS,#00c4b2,Isabel Torres Crespo,Junts,JUNTS,#00c4b2,Lista más votada
25223,Torà,Lleida,1224,Junts,51.83,JUNTS,#00c4b2,Isabel Torres Crespo,Junts,JUNTS,#00c4b2,Lista más votada
25224,Els Torms,Lleida,149,ERC,62.04,ERC,#e5ab4b,Pere Joan Piñol Masip,ERC,ERC,#e5ab4b,Lista más votada
25225,Tornabous,Lleida,847,PV-AMUNT,51.36,OTROS,#887c76,David Vilaro I Gordillo,PV-AMUNT,OTROS,#887c76,Lista más votada
25226,Torrebesses,Lleida,300,ERC,94.02,ERC,#e5ab4b,Mario Urrea Marsal,ERC,ERC,#e5ab4b,Lista más votada
25227,La Torre de Cabdella,Lleida,764,ERC,46.77,ERC,#e5ab4b,José María Dalmau Gil,ERC,ERC,#e5ab4b,Lista más votada
25228,Torrefarrera,Lleida,4730,Junts,49.93,JUNTS,#00c4b2,Jordi Latorre Sotus,Junts,JUNTS,#00c4b2,Lista más votada
