fecha,indicativo,fecha_maxima,temMax,nombre_clean,provincia_clean,latitud,longitud,record,nota,junio,mayo,abril,marzo,febrero,enero
2024-03-23,5514,2015-03-31,29.1,Granada Base Aérea,Granada,37.13722222,-3.631388889,Mensual,NA,NA,NA,NA,29.3,NA,NA
2024-03-23,6293X,2023-03-31,23.3,Roquetas de Mar,Almería,36.68694444,-2.701666667,Mensual,NA,NA,NA,NA,27,NA,NA
2024-03-18,6302A,2001-03-23,29.9,Abla,Almería,37.14138889,-2.78,Mensual,NA,NA,NA,NA,30,NA,NA
2024-03-19,8177A,2023-03-29,25.1,Chinchilla,Albacete,38.93583333,-1.66,Mensual,NA,NA,NA,NA,29,NA,NA
2024-03-22,8368U,2020-03-12,28,Teruel,Teruel,40.35055556,-1.124166667,Mensual,NA,NA,NA,NA,28.2,NA,NA
2024-03-22,9001D,2017-03-09,24,Reinosa,Cantabria,42.99194444,-4.160555556,Mensual,NA,NA,NA,NA,24.4,NA,NA
2024-03-22,9019B,2002-03-22,25.8,"Valderredible, Polientes",Cantabria,42.80638889,-3.933888889,Mensual,NA,NA,NA,NA,27.7,NA,NA
2024-03-22,9208E,2020-03-12,23.6,Aragüés del Puerto,Huesca,42.70861111,-0.6727777778,Mensual,NA,NA,NA,NA,24.7,NA,NA
2024-03-22,9263X,2023-03-29,24.5,"Aranguren, Ilundain",Navarra,42.77611111,-1.5325,Mensual,NA,NA,NA,NA,24.7,NA,NA
2024-02-04,0200E,2020-02-03,22.4,"Barcelona, Fabra",Barcelona,41.41833333,2.124166667,Mensual,NA,NA,NA,NA,NA,23.5,NA
2024-02-04,0372C,2023-02-04,24.3,Porqueres,Girona,42.10444444,2.763611111,Mensual,NA,NA,NA,NA,NA,25.2,NA
2024-02-15,1059X,2019-02-27,25.1,Punta Galea,Bizkaia,43.375,-3.021666667,Mensual,NA,NA,NA,NA,NA,25.1,NA
2024-02-15,1078I,2019-02-27,24.6,Güeñes,Bizkaia,43.20333333,-3.104722222,Mensual,NA,NA,NA,NA,NA,25.3,NA
2024-02-15,1159,2014-02-14,24.5,San Vicente de la Barquera,Cantabria,43.39333333,-4.392222222,Mensual,San Vicente de la Barquera 27.6ºC,NA,NA,NA,NA,27.6,NA
2024-02-15,1183X,2014-02-14,24.4,Llanes,Asturias,43.42027778,-4.748055556,Mensual,NA,NA,NA,NA,NA,26.5,NA
2024-02-15,1208H,2014-02-14,24.2,"Gijón, Puerto",Asturias,43.56,-5.700833333,Mensual,NA,NA,NA,NA,NA,24.9,NA
2024-02-15,1210X,2004-02-03,22.4,Cabo Peñas,Asturias,43.65583333,-5.848611111,Mensual,NA,NA,NA,NA,NA,23.2,NA
2024-02-04,3111D,2012-02-28,15.5,Somosierra,Madrid,41.13555556,-3.580277778,Mensual,Somosierra 15.9ºC,NA,NA,NA,NA,15.9,NA
2024-02-14,5192,2022-02-02,22.2,Villarrodrigo,Jaén,38.48916667,-2.6375,Mensual,NA,NA,NA,NA,NA,23,NA
