indicativo,<b></b>,temMax,fecha_maxima,record,mes_falso,month,nombre_clean,provincia_clean,<span></span>,fecha,nota
5181D,25.8,23.3,2022-01-01,Mensual,12,Enero,Arroyo del Ojanco,Jaén,12.064627274325916,2024-01-25,NA
5192,26,19.6,2013-01-31,Mensual,12,Enero,Villarrodrigo,Jaén,11.837738522530694,2024-01-26,NA
5270B,22.4,20.4,2022-01-01,Mensual,12,Enero,Jaén,Jaén,12.11771342092726,2024-01-26,NA
5298X,25,24.2,2007-01-20,Mensual,12,Enero,Andújar,Jaén,11.795242615279971,2024-01-25,NA
5390Y,24.2,24,2022-01-01,Mensual,12,Enero,Villanueva de Córdoba,Córdoba,12.216702209738616,2024-01-26,NA
5402,23.5,22.9,2007-01-20,Mensual,12,Enero,Córdoba Aeropuerto,Córdoba,11.811912277405986,2024-01-27,NA
5427X,25.4,25.1,2021-01-28,Mensual,12,Enero,Doña Mencía,Córdoba,11.856279330819522,2024-01-26,NA
5514,26.8,23.4,1959-01-25,Mensual,12,Enero,Granada Base Aérea,Granada,11.936865828801405,2024-01-25,NA
5530E,25.7,24.6,2014-01-08,Mensual,12,Enero,Granada Aeropuerto,Granada,12.177956418796317,2024-01-25,NA
5582A,26.1,23,2003-01-28,Mensual,12,Enero,Loja,Granada,11.772230118042637,2024-01-26,NA
5612B,27.8,25.7,2021-01-28,Mensual,12,Enero,La Roda de Andalucía,Sevilla,12.11509492564761,2024-01-26,NA
5704B,25,23.6,2022-01-01,Mensual,12,Enero,Cazalla de la Sierra,Sevilla,11.879704070112105,2024-01-25,NA
5860E,24.3,23.2,2008-01-22,Mensual,12,Enero,"Moguer, El Arenosillo",Huelva,11.735816768634885,2024-01-25,NA
5910,23.9,22.6,2016-01-24,Mensual,12,Enero,"Rota, Base Naval",Cádiz,12.107377423297365,2024-01-24,NA
5972X,25.4,21.7,2007-01-19,Mensual,12,Enero,San Fernando,Cádiz,12.240952962844286,2024-01-25,NA
5973,24.1,22.5,2007-01-19,Mensual,12,Enero,Cádiz,Cádiz,11.891661162009813,2024-01-25,NA
5995B,23.4,22.3,2022-01-31,Mensual,12,Enero,Vejer de la Frontera,Cádiz,11.9338429995745,2024-01-26,NA
6000A,26.7,25.6,1996-01-01,Mensual,12,Enero,Melilla,Melilla,12,2024-01-17,NA
6058I,24.5,24.4,2012-01-06,Mensual,12,Enero,Estepona,Málaga,12.063883572880885,2024-01-03,NA
6106X,24.4,23.6,2003-01-28,Mensual,12,Enero,Antequera,Málaga,12.180443894831841,2024-01-26,NA
6293X,21.3,20.3,2023-01-09,Mensual,12,Enero,Roquetas de Mar,Almería,11.941308645567537,2024-01-26,NA
6325O,25.7,24.4,2013-01-26,Mensual,12,Enero,Almería Aeropuerto,Almería,11.936116427119115,2024-01-27,NA
6367B,28,27.1,2021-01-29,Mensual,12,Enero,Huércal-Overa,Almería,12.082180459037362,2024-01-26,NA
7119B,25.2,24.3,2021-01-29,Mensual,12,Enero,Caravaca de la Cruz,Murcia,12,2024-01-25,NA
7209,27.6,27.5,2021-01-29,Mensual,12,Enero,Lorca,Murcia,12,2024-01-25,NA
7247X,26.3,24.5,2021-01-29,Mensual,12,Enero,El Pinós/Pinoso,Alicante,12.123202379146324,2024-01-25,NA
8096,24,23.2,2022-01-01,Mensual,12,Enero,Cuenca,Cuenca,12.264183231365115,2024-01-26,NA
8175,22.8,21.8,1959-01-25,Mensual,12,Enero,Albacete Base Aérea,Albacete,11.706405981683517,2024-01-25,NA
8178D,22,21.6,2003-01-27,Mensual,12,Enero,Albacete,Albacete,11.81201683713049,2024-01-25,NA
