indicativo,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre,nombre_clean,provincia_clean,latitud,longitud
1249I,12.6,13.2,no hace calor,"-2,5",12,anormalmente cálida,"+4,8",2024-03-19,10:10:00,OVIEDO,Oviedo,Asturias,43.35333333333333,-5.874166666666667
1249X,12.6,13.2,hace calor,+1,12,extremadamente cálida,"+6,2",2024-03-19,10:10:00,OVIEDO,Oviedo,Asturias,43.35333333333333,-5.874166666666667
1283U,13.95,14.5,hace calor,"+0,6",13.4,extremadamente cálida,+4,2024-03-19,10:10:00,CABO BUSTO,Cabo Busto,Asturias,43.56916666666667,-6.47
1331A,12.850000000000001,13.3,no hace calor,"-1,3",12.4,extremadamente cálida,"+3,6",2024-03-19,10:10:00,CASTROPOL,Castropol,Asturias,43.52472222222222,-7.0313888888888885
1351,11.350000000000001,12.3,no hace calor,"-1,2",10.4,más cálida de lo normal,"+0,5",2024-03-19,10:10:00,ESTACA DE BARES,Estaca de Bares,A Coruña,43.78611111111111,-7.685
1387,10.6,12,no hace calor,-4,9.2,hace frío,"-0,8",2024-03-19,10:10:00,A CORUÑA,A Coruña,A Coruña,43.365833333333335,-8.421388888888888
1387E,9.1,11,no hace calor,"-5,4",7.2,hace frío,"-0,9",2024-03-19,10:10:00,A CORUÑA AEROPUERTO,A Coruña Aeropuerto,A Coruña,43.30694444444444,-8.371944444444445
1393,9.75,10.9,no hace calor,-2,8.6,hace frío,"-0,8",2024-03-19,10:10:00,CABO VILÁN,Cabo Vilán,A Coruña,43.160555555555554,-9.210833333333332
1400,10.05,12,no hace calor,-1,8.1,hace frío,"-0,8",2024-03-19,10:10:00,FISTERRA,Fisterra,A Coruña,42.92472222222222,-9.29138888888889
1428,9.5,10.2,no hace calor,"-5,3",8.8,más cálida de lo normal,"+2,6",2024-03-19,10:10:00,SANTIAGO DE COMPOSTELA AEROPUERTO,Santiago de Compostela Aeropuerto,A Coruña,42.88805555555555,-8.410555555555556
1437O,16.2,23.3,el calor es extremo,"+12,1",9.1,anormalmente cálida,"+3,6",2024-03-19,10:00:00,MONTE IROITE,Monte Iroite,A Coruña,42.72055555555555,-8.923333333333332
1473A,9.7,11,no hace calor,"-6,1",8.4,más cálida de lo normal,"+1,9",2024-03-19,10:10:00,PADRÓN,Padrón,A Coruña,42.73833333333334,-8.627222222222223
1475X,10.55,11.8,no hace calor,"-3,6",9.3,anormalmente cálida,+2,2024-03-19,10:10:00,SANTIAGO DE COMPOSTELA,Santiago de Compostela,A Coruña,42.876111111111115,-8.555833333333334
1484C,10.15,12.6,no hace calor,"-5,4",7.7,hace frío,"-1,5",2024-03-19,10:10:00,PONTEVEDRA,Pontevedra,Pontevedra,42.43833333333333,-8.615833333333333
