date,provincia,2024,Media 2009-2023,tipo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,min,max
2024-02-25,España,55,27.533333333333335,Incendios,0,3,0,6,13,0,3,2,0,6,5,101,63,37,111,63,0,111
2024-02-26,España,7975,3898.133333333333,Hectáreas,0,1315,0,515,3194,0,321,226,0,467,405,12663,7291,11137,15158,5780,405,15158
2024-02-26,España,55,28.066666666666663,Incendios,0,3,0,6,13,0,3,2,0,6,6,107,63,37,112,63,0,112
2024-02-27,España,7975,4088.133333333333,Hectáreas,0,1315,501,515,3519,0,321,226,0,467,437,14625,7291,11167,15158,5780,437,15158
2024-02-27,España,55,29.6,Incendios,0,3,1,6,15,0,3,2,0,6,7,125,63,38,112,63,1,112
2024-02-28,España,7975,4422.133333333333,Hectáreas,0,1315,501,515,7764,0,321,226,0,467,437,14833,7291,11197,15685,5780,437,15685
2024-02-28,España,55,30.533333333333335,Incendios,0,3,1,6,24,0,3,2,0,6,7,127,63,39,114,63,1,114
2024-02-29,España,7975,NA,Hectáreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-29,España,55,NA,Incendios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-01,España,8071,4579,Hectáreas,0,1315,501,589,7847,0,321,226,0,467,437,15080,7291,12830,15930,5851,437,15930
2024-03-01,España,57,31.866666666666667,Incendios,0,3,1,7,25,0,3,2,0,6,7,130,63,47,119,65,1,119
2024-03-02,España,8071,4634.4,Hectáreas,0,1315,501,589,7847,0,321,226,0,467,437,15764,7291,12942,15930,5886,437,15930
2024-03-02,España,57,32.4,Incendios,0,3,1,7,25,0,3,2,0,6,7,135,63,49,119,66,1,119
2024-03-03,España,8071,4750.133333333333,Hectáreas,0,1315,501,658,7847,0,321,226,0,467,437,17283,7291,13055,15930,5921,437,15930
2024-03-03,España,57,33.13333333333333,Incendios,0,3,1,8,25,0,3,2,0,6,7,143,63,50,119,67,1,119
2024-03-04,España,8071,4853.333333333333,Hectáreas,0,1315,501,658,7847,0,321,226,0,467,437,18516,7291,13370,15930,5921,437,15930
2024-03-04,España,57,34.333333333333336,Incendios,0,3,1,8,25,0,3,2,0,6,7,157,63,54,119,67,1,119
