nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Pobra do Brollón,27047,ECO,Áreas no urbanas,0,Lugo,1551,0,0,NA,4.19,NA
A Pobra do Brollón,27047,SIN DISTINTIVO,Áreas no urbanas,59,Lugo,1551,47.2,38.04,36.15,35,1.16
A Pobra do Caramiñal,15067,CERO,Áreas no urbanas,3,A Coruña,9290,0.53,0.32,1.67,3.63,-1.96
A Pobra do Caramiñal,15067,DISTINTIVO B,Áreas no urbanas,69,A Coruña,9290,12.3,7.43,17.36,17.32,0.04
A Pobra do Caramiñal,15067,DISTINTIVO C,Áreas no urbanas,336,A Coruña,9290,59.89,36.17,8.82,8.5,0.32
A Pobra do Caramiñal,15067,ECO,Áreas no urbanas,0,A Coruña,9290,0,0,NA,4.19,NA
A Pobra do Caramiñal,15067,SIN DISTINTIVO,Áreas no urbanas,153,A Coruña,9290,27.27,16.47,35.25,35,0.25
A Pontenova,27048,CERO,Áreas no urbanas,2,Lugo,2191,1.24,0.91,1.5,3.63,-2.13
A Pontenova,27048,DISTINTIVO B,Áreas no urbanas,14,Lugo,2191,8.7,6.39,17.14,17.32,-0.18
A Pontenova,27048,DISTINTIVO C,Áreas no urbanas,66,Lugo,2191,40.99,30.12,9.98,8.5,1.48
A Pontenova,27048,ECO,Áreas no urbanas,0,Lugo,2191,0,0,NA,4.19,NA
A Pontenova,27048,SIN DISTINTIVO,Áreas no urbanas,79,Lugo,2191,49.07,36.06,36.08,35,1.08
A Rúa,32072,CERO,Áreas no urbanas,1,Ourense,4186,0.27,0.24,3,3.63,-0.63
A Rúa,32072,DISTINTIVO B,Áreas no urbanas,55,Ourense,4186,14.99,13.14,17.45,17.32,0.14
A Rúa,32072,DISTINTIVO C,Áreas no urbanas,162,Ourense,4186,44.14,38.7,8.88,8.5,0.38
A Rúa,32072,ECO,Áreas no urbanas,1,Ourense,4186,0.27,0.24,2,4.19,-2.19
A Rúa,32072,SIN DISTINTIVO,Áreas no urbanas,148,Ourense,4186,40.33,35.36,33.43,35,-1.56
A Teixeira,32080,CERO,Áreas no urbanas,0,Ourense,345,0,0,NA,3.63,NA
A Teixeira,32080,DISTINTIVO B,Áreas no urbanas,0,Ourense,345,0,0,NA,17.32,NA
A Teixeira,32080,DISTINTIVO C,Áreas no urbanas,10,Ourense,345,43.48,28.99,6.1,8.5,-2.4
A Teixeira,32080,ECO,Áreas no urbanas,0,Ourense,345,0,0,NA,4.19,NA
A Teixeira,32080,SIN DISTINTIVO,Áreas no urbanas,13,Ourense,345,56.52,37.68,38.92,35,3.93
A Veiga,32083,DISTINTIVO B,Áreas no urbanas,15,Ourense,901,25.86,16.65,17.4,17.32,0.08
A Veiga,32083,DISTINTIVO C,Áreas no urbanas,21,Ourense,901,36.21,23.31,11.95,8.5,3.45
A Veiga,32083,ECO,Áreas no urbanas,0,Ourense,901,0,0,NA,4.19,NA
A Veiga,32083,SIN DISTINTIVO,Áreas no urbanas,22,Ourense,901,37.93,24.42,36.64,35,1.64
Ababuj,44001,DISTINTIVO B,Áreas no urbanas,1,Teruel,72,50,13.89,17,17.32,-0.32
Ababuj,44001,DISTINTIVO C,Áreas no urbanas,1,Teruel,72,50,13.89,16,8.5,7.5
Ababuj,44001,ECO,Áreas no urbanas,0,Teruel,72,0,0,NA,4.19,NA
Ababuj,44001,SIN DISTINTIVO,Áreas no urbanas,0,Teruel,72,0,0,NA,35,NA
