nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Agramunt,25003,DISTINTIVO B,Áreas no urbanas,13,Lleida,5479,210,6.19,2.37,11.85,11.9,-0.06
Agramunt,25003,DISTINTIVO C,Áreas no urbanas,33,Lleida,5479,210,15.71,6.02,3.73,4.61,-0.88
Agramunt,25003,ECO,Áreas no urbanas,0,Lleida,5479,210,0,0,NA,3.53,NA
Agramunt,25003,SIN DISTINTIVO,Áreas no urbanas,164,Lleida,5479,210,78.1,29.93,17.84,17.4,0.44
Agres,03003,CERO,Áreas no urbanas,0,Alicante,589,7,0,0,NA,2.92,NA
Agres,03003,DISTINTIVO B,Áreas no urbanas,0,Alicante,589,7,0,0,NA,11.9,NA
Agres,03003,DISTINTIVO C,Áreas no urbanas,0,Alicante,589,7,0,0,NA,4.61,NA
Agres,03003,ECO,Áreas no urbanas,0,Alicante,589,7,0,0,NA,3.53,NA
Agres,03003,SIN DISTINTIVO,Áreas no urbanas,7,Alicante,589,7,100,11.88,8.86,17.4,-8.54
Agrón,18001,CERO,Áreas no urbanas,0,Granada,247,5,0,0,NA,2.92,NA
Agrón,18001,DISTINTIVO B,Áreas no urbanas,1,Granada,247,5,20,4.05,10,11.9,-1.9
Agrón,18001,DISTINTIVO C,Áreas no urbanas,0,Granada,247,5,0,0,NA,4.61,NA
Agrón,18001,ECO,Áreas no urbanas,0,Granada,247,5,0,0,NA,3.53,NA
Agrón,18001,SIN DISTINTIVO,Áreas no urbanas,4,Granada,247,5,80,16.19,19,17.4,1.6
Aguadulce,41001,CERO,Áreas no urbanas,0,Sevilla,2043,74,0,0,NA,2.92,NA
Aguadulce,41001,DISTINTIVO B,Áreas no urbanas,5,Sevilla,2043,74,6.76,2.45,6.4,11.9,-5.5
Aguadulce,41001,DISTINTIVO C,Áreas no urbanas,25,Sevilla,2043,74,33.78,12.24,3.44,4.61,-1.17
Aguadulce,41001,ECO,Áreas no urbanas,0,Sevilla,2043,74,0,0,NA,3.53,NA
Aguadulce,41001,SIN DISTINTIVO,Áreas no urbanas,44,Sevilla,2043,74,59.46,21.54,15.95,17.4,-1.44
Aguarón,50004,CERO,Áreas no urbanas,0,Zaragoza,610,7,0,0,NA,2.92,NA
Aguarón,50004,DISTINTIVO B,Áreas no urbanas,0,Zaragoza,610,7,0,0,NA,11.9,NA
Aguarón,50004,DISTINTIVO C,Áreas no urbanas,0,Zaragoza,610,7,0,0,NA,4.61,NA
Aguarón,50004,ECO,Áreas no urbanas,0,Zaragoza,610,7,0,0,NA,3.53,NA
Aguarón,50004,SIN DISTINTIVO,Áreas no urbanas,7,Zaragoza,610,7,100,11.48,22.43,17.4,5.03
Aguas Cándidas,09006,DISTINTIVO B,Áreas no urbanas,0,Burgos,62,1,0,0,NA,11.9,NA
Aguas Cándidas,09006,DISTINTIVO C,Áreas no urbanas,0,Burgos,62,1,0,0,NA,4.61,NA
Aguas Cándidas,09006,SIN DISTINTIVO,Áreas no urbanas,1,Burgos,62,1,100,16.13,11,17.4,-6.4
Aguasal,47002,DISTINTIVO B,Áreas no urbanas,0,Valladolid,19,1,0,0,NA,11.9,NA
Aguasal,47002,ECO,Áreas no urbanas,0,Valladolid,19,1,0,0,NA,3.53,NA
Aguasal,47002,SIN DISTINTIVO,Áreas no urbanas,1,Valladolid,19,1,100,52.63,18,17.4,0.6
Aguatón,44003,DISTINTIVO B,Áreas no urbanas,0,Teruel,16,1,0,0,NA,11.9,NA
Aguatón,44003,DISTINTIVO C,Áreas no urbanas,0,Teruel,16,1,0,0,NA,4.61,NA
Aguatón,44003,SIN DISTINTIVO,Áreas no urbanas,1,Teruel,16,1,100,62.5,17,17.4,-0.4
Aguaviva,44004,DISTINTIVO B,Áreas no urbanas,7,Teruel,556,51,13.73,12.59,13.29,11.9,1.38
Aguaviva,44004,DISTINTIVO C,Áreas no urbanas,11,Teruel,556,51,21.57,19.78,3.64,4.61,-0.97
Aguaviva,44004,ECO,Áreas no urbanas,0,Teruel,556,51,0,0,NA,3.53,NA
Aguaviva,44004,SIN DISTINTIVO,Áreas no urbanas,33,Teruel,556,51,64.71,59.35,17.33,17.4,-0.07
Agudo,13002,CERO,Áreas no urbanas,0,Ciudad Real,1615,65,0,0,NA,2.92,NA
Agudo,13002,DISTINTIVO B,Áreas no urbanas,2,Ciudad Real,1615,65,3.08,1.24,14.5,11.9,2.6
Agudo,13002,DISTINTIVO C,Áreas no urbanas,0,Ciudad Real,1615,65,0,0,NA,4.61,NA
Agudo,13002,ECO,Áreas no urbanas,0,Ciudad Real,1615,65,0,0,NA,3.53,NA
Agudo,13002,SIN DISTINTIVO,Áreas no urbanas,63,Ciudad Real,1615,65,96.92,39.01,15.97,17.4,-1.43
Aguilafuente,40004,CERO,Áreas no urbanas,0,Segovia,564,13,0,0,NA,2.92,NA
Aguilafuente,40004,DISTINTIVO B,Áreas no urbanas,4,Segovia,564,13,30.77,7.09,10.5,11.9,-1.4
Aguilafuente,40004,DISTINTIVO C,Áreas no urbanas,1,Segovia,564,13,7.69,1.77,5,4.61,0.39
Aguilafuente,40004,ECO,Áreas no urbanas,0,Segovia,564,13,0,0,NA,3.53,NA
Aguilafuente,40004,SIN DISTINTIVO,Áreas no urbanas,8,Segovia,564,13,61.54,14.18,15.62,17.4,-1.77
Aguilar de Bureba,09007,DISTINTIVO B,Áreas no urbanas,0,Burgos,51,0,NA,0,NA,11.9,NA
Aguilar de Bureba,09007,DISTINTIVO C,Áreas no urbanas,0,Burgos,51,0,NA,0,NA,4.61,NA
Aguilar de Bureba,09007,SIN DISTINTIVO,Áreas no urbanas,0,Burgos,51,0,NA,0,NA,17.4,NA
Aguilar de Campoo,34004,CERO,Áreas no urbanas,0,Palencia,6646,120,0,0,NA,2.92,NA
Aguilar de Campoo,34004,DISTINTIVO B,Áreas no urbanas,10,Palencia,6646,120,8.33,1.5,8.6,11.9,-3.3
Aguilar de Campoo,34004,DISTINTIVO C,Áreas no urbanas,18,Palencia,6646,120,15,2.71,6.22,4.61,1.61
Aguilar de Campoo,34004,ECO,Áreas no urbanas,0,Palencia,6646,120,0,0,NA,3.53,NA
Aguilar de Campoo,34004,SIN DISTINTIVO,Áreas no urbanas,92,Palencia,6646,120,76.67,13.84,17.78,17.4,0.38
Aguilar de Campos,47003,DISTINTIVO B,Áreas no urbanas,0,Valladolid,276,3,0,0,NA,11.9,NA
Aguilar de Campos,47003,DISTINTIVO C,Áreas no urbanas,0,Valladolid,276,3,0,0,NA,4.61,NA
Aguilar de Campos,47003,ECO,Áreas no urbanas,0,Valladolid,276,3,0,0,NA,3.53,NA
Aguilar de Campos,47003,SIN DISTINTIVO,Áreas no urbanas,3,Valladolid,276,3,100,10.87,28.67,17.4,11.27
Aguilar de Codés,31008,DISTINTIVO B,Áreas no urbanas,0,Navarra,76,0,NA,0,NA,11.9,NA
Aguilar de Codés,31008,DISTINTIVO C,Áreas no urbanas,0,Navarra,76,0,NA,0,NA,4.61,NA
Aguilar de Codés,31008,ECO,Áreas no urbanas,0,Navarra,76,0,NA,0,NA,3.53,NA
Aguilar de Codés,31008,SIN DISTINTIVO,Áreas no urbanas,0,Navarra,76,0,NA,0,NA,17.4,NA
Aguilar de Segarra,08002,CERO,Áreas no urbanas,0,Barcelona,287,2567,0,0,NA,2.92,NA
Aguilar de Segarra,08002,DISTINTIVO B,Áreas no urbanas,9,Barcelona,287,2567,0.35,31.36,14.56,11.9,2.65
Aguilar de Segarra,08002,DISTINTIVO C,Áreas no urbanas,7,Barcelona,287,2567,0.27,24.39,5.14,4.61,0.53
Aguilar de Segarra,08002,ECO,Áreas no urbanas,0,Barcelona,287,2567,0,0,NA,3.53,NA
Aguilar de Segarra,08002,SIN DISTINTIVO,Áreas no urbanas,2551,Barcelona,287,2567,99.38,8888.5,15.16,17.4,-2.24
Aguilar de la Frontera,14002,CERO,Áreas no urbanas,0,Córdoba,13318,617,0,0,NA,2.92,NA
Aguilar de la Frontera,14002,DISTINTIVO B,Áreas no urbanas,31,Córdoba,13318,617,5.02,2.33,11.58,11.9,-0.32
Aguilar de la Frontera,14002,DISTINTIVO C,Áreas no urbanas,61,Córdoba,13318,617,9.89,4.58,5.26,4.61,0.65
Aguilar de la Frontera,14002,ECO,Áreas no urbanas,0,Córdoba,13318,617,0,0,NA,3.53,NA
Aguilar de la Frontera,14002,SIN DISTINTIVO,Áreas no urbanas,525,Córdoba,13318,617,85.09,39.42,17.32,17.4,-0.08
Aguilar del Alfambra,44005,DISTINTIVO B,Áreas no urbanas,0,Teruel,81,0,NA,0,NA,11.9,NA
Aguilar del Alfambra,44005,DISTINTIVO C,Áreas no urbanas,0,Teruel,81,0,NA,0,NA,4.61,NA
Aguilar del Alfambra,44005,ECO,Áreas no urbanas,0,Teruel,81,0,NA,0,NA,3.53,NA
Aguilar del Alfambra,44005,SIN DISTINTIVO,Áreas no urbanas,0,Teruel,81,0,NA,0,NA,17.4,NA
Aguilar del Río Alhama,26003,DISTINTIVO B,Áreas no urbanas,1,La Rioja,442,18,5.56,2.26,9,11.9,-2.9
