nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Aguaviva,44004,SIN DISTINTIVO,Áreas no urbanas,132,Teruel,556,37.61,237.41,27.09,28.41,-1.32
Agudo,13002,CERO,Áreas no urbanas,1,Ciudad Real,1615,0.12,0.62,2,2.5,-0.5
Agudo,13002,DISTINTIVO B,Áreas no urbanas,327,Ciudad Real,1615,37.63,202.48,14.65,14.58,0.06
Agudo,13002,DISTINTIVO C,Áreas no urbanas,135,Ciudad Real,1615,15.54,83.59,6.73,7.17,-0.44
Agudo,13002,ECO,Áreas no urbanas,10,Ciudad Real,1615,1.15,6.19,3.2,3.67,-0.47
Agudo,13002,SIN DISTINTIVO,Áreas no urbanas,396,Ciudad Real,1615,45.57,245.2,26.07,28.41,-2.34
Aguilafuente,40004,CERO,Áreas no urbanas,1,Segovia,564,0.26,1.77,2,2.5,-0.5
Aguilafuente,40004,DISTINTIVO B,Áreas no urbanas,133,Segovia,564,34.82,235.82,13.8,14.58,-0.78
Aguilafuente,40004,DISTINTIVO C,Áreas no urbanas,77,Segovia,564,20.16,136.52,8.03,7.17,0.86
Aguilafuente,40004,ECO,Áreas no urbanas,5,Segovia,564,1.31,8.87,4.4,3.67,0.73
Aguilafuente,40004,SIN DISTINTIVO,Áreas no urbanas,166,Segovia,564,43.46,294.33,27.98,28.41,-0.44
Aguilar de Bureba,09007,DISTINTIVO B,Áreas no urbanas,19,Burgos,51,50,372.55,15.11,14.58,0.52
Aguilar de Bureba,09007,DISTINTIVO C,Áreas no urbanas,5,Burgos,51,13.16,98.04,10,7.17,2.83
Aguilar de Bureba,09007,SIN DISTINTIVO,Áreas no urbanas,14,Burgos,51,36.84,274.51,24.36,28.41,-4.06
Aguilar de Campoo,34004,CERO,Áreas no urbanas,9,Palencia,6646,0.24,1.35,2.33,2.5,-0.17
Aguilar de Campoo,34004,DISTINTIVO B,Áreas no urbanas,1339,Palencia,6646,36.22,201.47,14.49,14.58,-0.09
Aguilar de Campoo,34004,DISTINTIVO C,Áreas no urbanas,1088,Palencia,6646,29.43,163.71,7.66,7.17,0.49
Aguilar de Campoo,34004,ECO,Áreas no urbanas,70,Palencia,6646,1.89,10.53,3.83,3.67,0.16
Aguilar de Campoo,34004,SIN DISTINTIVO,Áreas no urbanas,1191,Palencia,6646,32.22,179.21,26.75,28.41,-1.66
Aguilar de Campos,47003,DISTINTIVO B,Áreas no urbanas,67,Valladolid,276,31.02,242.75,13.7,14.58,-0.88
Aguilar de Campos,47003,DISTINTIVO C,Áreas no urbanas,48,Valladolid,276,22.22,173.91,7.27,7.17,0.1
Aguilar de Campos,47003,ECO,Áreas no urbanas,8,Valladolid,276,3.7,28.99,3,3.67,-0.67
Aguilar de Campos,47003,SIN DISTINTIVO,Áreas no urbanas,93,Valladolid,276,43.06,336.96,26.66,28.41,-1.76
Aguilar de Codés,31008,DISTINTIVO B,Áreas no urbanas,16,Navarra,76,36.36,210.53,15.5,14.58,0.92
Aguilar de Codés,31008,DISTINTIVO C,Áreas no urbanas,8,Navarra,76,18.18,105.26,7.62,7.17,0.45
Aguilar de Codés,31008,ECO,Áreas no urbanas,1,Navarra,76,2.27,13.16,6,3.67,2.33
Aguilar de Codés,31008,SIN DISTINTIVO,Áreas no urbanas,19,Navarra,76,43.18,250,29.79,28.41,1.38
Aguilar de Segarra,08002,CERO,Áreas no urbanas,387,Barcelona,287,4.76,1348.43,1.64,2.5,-0.87
Aguilar de Segarra,08002,DISTINTIVO B,Áreas no urbanas,467,Barcelona,287,5.75,1627.18,13.53,14.58,-1.05
Aguilar de Segarra,08002,DISTINTIVO C,Áreas no urbanas,5974,Barcelona,287,73.55,20815.33,2.67,7.17,-4.5
Aguilar de Segarra,08002,ECO,Áreas no urbanas,1030,Barcelona,287,12.68,3588.85,1.75,3.67,-1.92
Aguilar de Segarra,08002,SIN DISTINTIVO,Áreas no urbanas,264,Barcelona,287,3.25,919.86,31.75,28.41,3.34
Aguilar de la Frontera,14002,CERO,Áreas no urbanas,5,Córdoba,13318,0.07,0.38,4.2,2.5,1.7
Aguilar de la Frontera,14002,DISTINTIVO B,Áreas no urbanas,2627,Córdoba,13318,39.17,197.25,14.21,14.58,-0.37
Aguilar de la Frontera,14002,DISTINTIVO C,Áreas no urbanas,1623,Córdoba,13318,24.2,121.87,6.84,7.17,-0.33
Aguilar de la Frontera,14002,ECO,Áreas no urbanas,60,Córdoba,13318,0.89,4.51,3.5,3.67,-0.17
Aguilar de la Frontera,14002,SIN DISTINTIVO,Áreas no urbanas,2392,Córdoba,13318,35.66,179.61,24.5,28.41,-3.91
Aguilar del Alfambra,44005,DISTINTIVO B,Áreas no urbanas,20,Teruel,81,37.74,246.91,15.35,14.58,0.77
Aguilar del Alfambra,44005,DISTINTIVO C,Áreas no urbanas,6,Teruel,81,11.32,74.07,7.5,7.17,0.33
Aguilar del Alfambra,44005,ECO,Áreas no urbanas,1,Teruel,81,1.89,12.35,2,3.67,-1.67
Aguilar del Alfambra,44005,SIN DISTINTIVO,Áreas no urbanas,26,Teruel,81,49.06,320.99,25.96,28.41,-2.45
Aguilar del Río Alhama,26003,DISTINTIVO B,Áreas no urbanas,82,La Rioja,442,33.06,185.52,14,14.58,-0.58
Aguilar del Río Alhama,26003,DISTINTIVO C,Áreas no urbanas,57,La Rioja,442,22.98,128.96,6.84,7.17,-0.33
Aguilar del Río Alhama,26003,ECO,Áreas no urbanas,3,La Rioja,442,1.21,6.79,2.67,3.67,-1
Aguilar del Río Alhama,26003,SIN DISTINTIVO,Áreas no urbanas,106,La Rioja,442,42.74,239.82,29.99,28.41,1.58
Aguilón,50005,DISTINTIVO B,Áreas no urbanas,37,Zaragoza,244,32.46,151.64,14.65,14.58,0.07
Aguilón,50005,DISTINTIVO C,Áreas no urbanas,35,Zaragoza,244,30.7,143.44,7.74,7.17,0.57
Aguilón,50005,ECO,Áreas no urbanas,1,Zaragoza,244,0.88,4.1,2,3.67,-1.67
Aguilón,50005,SIN DISTINTIVO,Áreas no urbanas,41,Zaragoza,244,35.96,168.03,29.27,28.41,0.86
Agullana,17001,CERO,Áreas no urbanas,4,Girona,903,0.71,4.43,3.25,2.5,0.75
Agullana,17001,DISTINTIVO B,Áreas no urbanas,168,Girona,903,29.95,186.05,14.64,14.58,0.06
Agullana,17001,DISTINTIVO C,Áreas no urbanas,165,Girona,903,29.41,182.72,7.59,7.17,0.42
Agullana,17001,ECO,Áreas no urbanas,12,Girona,903,2.14,13.29,3.33,3.67,-0.34
Agullana,17001,SIN DISTINTIVO,Áreas no urbanas,212,Girona,903,37.79,234.77,31.91,28.41,3.49
Agullent,46004,CERO,Áreas no urbanas,8,Valencia,2361,0.52,3.39,3.12,2.5,0.62
Agullent,46004,DISTINTIVO B,Áreas no urbanas,517,Valencia,2361,33.62,218.98,14.36,14.58,-0.22
Agullent,46004,DISTINTIVO C,Áreas no urbanas,610,Valencia,2361,39.66,258.37,7.12,7.17,-0.05
Agullent,46004,ECO,Áreas no urbanas,54,Valencia,2361,3.51,22.87,4.09,3.67,0.42
Agullent,46004,SIN DISTINTIVO,Áreas no urbanas,349,Valencia,2361,22.69,147.82,26.01,28.41,-2.4
Agulo,38002,DISTINTIVO B,Áreas no urbanas,109,S. C. Tenerife,1085,23.34,100.46,17.71,14.58,3.12
Agulo,38002,DISTINTIVO C,Áreas no urbanas,194,S. C. Tenerife,1085,41.54,178.8,9.02,7.17,1.85
Agulo,38002,ECO,Áreas no urbanas,2,S. C. Tenerife,1085,0.43,1.84,3,3.67,-0.67
