nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Pontenova,27048,DISTINTIVO B,Áreas no urbanas,2,Lugo,2191,88,2.27,0.91,15.5,11.64,3.86
A Pontenova,27048,DISTINTIVO C,Áreas no urbanas,9,Lugo,2191,88,10.23,4.11,4.89,4.09,0.8
A Pontenova,27048,ECO,Áreas no urbanas,0,Lugo,2191,88,0,0,NA,3.95,NA
A Pontenova,27048,SIN DISTINTIVO,Áreas no urbanas,77,Lugo,2191,88,87.5,35.14,20.66,19.31,1.35
A Rúa,32072,CERO,Áreas no urbanas,0,Ourense,4186,74,0,0,NA,4.01,NA
A Rúa,32072,DISTINTIVO B,Áreas no urbanas,2,Ourense,4186,74,2.7,0.48,11,11.64,-0.64
A Rúa,32072,DISTINTIVO C,Áreas no urbanas,2,Ourense,4186,74,2.7,0.48,4.5,4.09,0.41
A Rúa,32072,ECO,Áreas no urbanas,0,Ourense,4186,74,0,0,NA,3.95,NA
A Rúa,32072,SIN DISTINTIVO,Áreas no urbanas,70,Ourense,4186,74,94.59,16.72,27.23,19.31,7.92
A Teixeira,32080,CERO,Áreas no urbanas,0,Ourense,345,17,0,0,NA,4.01,NA
A Teixeira,32080,DISTINTIVO B,Áreas no urbanas,0,Ourense,345,17,0,0,NA,11.64,NA
A Teixeira,32080,DISTINTIVO C,Áreas no urbanas,1,Ourense,345,17,5.88,2.9,5,4.09,0.91
A Teixeira,32080,ECO,Áreas no urbanas,0,Ourense,345,17,0,0,NA,3.95,NA
A Teixeira,32080,SIN DISTINTIVO,Áreas no urbanas,16,Ourense,345,17,94.12,46.38,18.25,19.31,-1.06
A Veiga,32083,DISTINTIVO B,Áreas no urbanas,0,Ourense,901,33,0,0,NA,11.64,NA
A Veiga,32083,DISTINTIVO C,Áreas no urbanas,0,Ourense,901,33,0,0,NA,4.09,NA
A Veiga,32083,ECO,Áreas no urbanas,0,Ourense,901,33,0,0,NA,3.95,NA
A Veiga,32083,SIN DISTINTIVO,Áreas no urbanas,33,Ourense,901,33,100,36.63,18.67,19.31,-0.64
Ababuj,44001,DISTINTIVO B,Áreas no urbanas,1,Teruel,72,7,14.29,13.89,17,11.64,5.36
Ababuj,44001,DISTINTIVO C,Áreas no urbanas,0,Teruel,72,7,0,0,NA,4.09,NA
Ababuj,44001,ECO,Áreas no urbanas,0,Teruel,72,7,0,0,NA,3.95,NA
Ababuj,44001,SIN DISTINTIVO,Áreas no urbanas,6,Teruel,72,7,85.71,83.33,23.17,19.31,3.86
Abades,40001,DISTINTIVO B,Áreas no urbanas,0,Segovia,839,36,0,0,NA,11.64,NA
Abades,40001,DISTINTIVO C,Áreas no urbanas,0,Segovia,839,36,0,0,NA,4.09,NA
Abades,40001,ECO,Áreas no urbanas,0,Segovia,839,36,0,0,NA,3.95,NA
Abades,40001,SIN DISTINTIVO,Áreas no urbanas,36,Segovia,839,36,100,42.91,21.42,19.31,2.11
Abadiño,48001,CERO,Áreas no urbanas,0,Bizkaia,7708,206,0,0,NA,4.01,NA
Abadiño,48001,DISTINTIVO B,Áreas no urbanas,46,Bizkaia,7708,206,22.33,5.97,11.85,11.64,0.21
Abadiño,48001,DISTINTIVO C,Áreas no urbanas,30,Bizkaia,7708,206,14.56,3.89,3.67,4.09,-0.42
Abadiño,48001,ECO,Áreas no urbanas,0,Bizkaia,7708,206,0,0,NA,3.95,NA
Abadiño,48001,SIN DISTINTIVO,Áreas no urbanas,130,Bizkaia,7708,206,63.11,16.87,19.54,19.31,0.23
Abadía,10001,DISTINTIVO B,Áreas no urbanas,0,Cáceres,340,6,0,0,NA,11.64,NA
Abadía,10001,DISTINTIVO C,Áreas no urbanas,0,Cáceres,340,6,0,0,NA,4.09,NA
Abadía,10001,ECO,Áreas no urbanas,0,Cáceres,340,6,0,0,NA,3.95,NA
Abadía,10001,SIN DISTINTIVO,Áreas no urbanas,6,Cáceres,340,6,100,17.65,16.5,19.31,-2.81
Abadín,27001,CERO,Áreas no urbanas,0,Lugo,2259,76,0,0,NA,4.01,NA
Abadín,27001,DISTINTIVO B,Áreas no urbanas,2,Lugo,2259,76,2.63,0.89,13,11.64,1.36
Abadín,27001,DISTINTIVO C,Áreas no urbanas,4,Lugo,2259,76,5.26,1.77,4.75,4.09,0.66
Abadín,27001,ECO,Áreas no urbanas,0,Lugo,2259,76,0,0,NA,3.95,NA
Abadín,27001,SIN DISTINTIVO,Áreas no urbanas,70,Lugo,2259,76,92.11,30.99,21.37,19.31,2.06
Abajas,09001,DISTINTIVO B,Áreas no urbanas,0,Burgos,29,2,0,0,NA,11.64,NA
Abajas,09001,DISTINTIVO C,Áreas no urbanas,0,Burgos,29,2,0,0,NA,4.09,NA
Abajas,09001,SIN DISTINTIVO,Áreas no urbanas,2,Burgos,29,2,100,68.97,28.5,19.31,9.19
Abaltzisketa,20001,CERO,Áreas no urbanas,0,Gipuzkoa,309,9,0,0,NA,4.01,NA
Abaltzisketa,20001,DISTINTIVO B,Áreas no urbanas,0,Gipuzkoa,309,9,0,0,NA,11.64,NA
Abaltzisketa,20001,DISTINTIVO C,Áreas no urbanas,0,Gipuzkoa,309,9,0,0,NA,4.09,NA
Abaltzisketa,20001,ECO,Áreas no urbanas,0,Gipuzkoa,309,9,0,0,NA,3.95,NA
Abaltzisketa,20001,SIN DISTINTIVO,Áreas no urbanas,9,Gipuzkoa,309,9,100,29.13,15.22,19.31,-4.09
Abanilla,30001,CERO,Áreas no urbanas,0,Murcia,6146,181,0,0,NA,4.01,NA
Abanilla,30001,DISTINTIVO B,Áreas no urbanas,18,Murcia,6146,181,9.94,2.93,13.28,11.64,1.64
Abanilla,30001,DISTINTIVO C,Áreas no urbanas,17,Murcia,6146,181,9.39,2.77,4.53,4.09,0.44
Abanilla,30001,ECO,Áreas no urbanas,3,Murcia,6146,181,1.66,0.49,6,3.95,2.05
Abanilla,30001,SIN DISTINTIVO,Áreas no urbanas,143,Murcia,6146,181,79.01,23.27,20.85,19.31,1.55
Abanto,50001,DISTINTIVO B,Áreas no urbanas,0,Zaragoza,89,4,0,0,NA,11.64,NA
Abanto,50001,DISTINTIVO C,Áreas no urbanas,0,Zaragoza,89,4,0,0,NA,4.09,NA
Abanto,50001,SIN DISTINTIVO,Áreas no urbanas,4,Zaragoza,89,4,100,44.94,19.25,19.31,-0.06
Abanto y Ciérvana-Abanto Zierbena,48002,CERO,Grandes áreas urbanas,0,Bizkaia,9369,301,0,0,NA,4.01,NA
Abanto y Ciérvana-Abanto Zierbena,48002,DISTINTIVO B,Grandes áreas urbanas,33,Bizkaia,9369,301,10.96,3.52,10.76,11.64,-0.88
Abanto y Ciérvana-Abanto Zierbena,48002,DISTINTIVO C,Grandes áreas urbanas,64,Bizkaia,9369,301,21.26,6.83,5.19,4.09,1.1
Abanto y Ciérvana-Abanto Zierbena,48002,ECO,Grandes áreas urbanas,0,Bizkaia,9369,301,0,0,NA,3.95,NA
Abanto y Ciérvana-Abanto Zierbena,48002,SIN DISTINTIVO,Grandes áreas urbanas,204,Bizkaia,9369,301,67.77,21.77,17.86,19.31,-1.44
Abarca de Campos,34001,DISTINTIVO B,Áreas no urbanas,0,Palencia,43,5,0,0,NA,11.64,NA
Abarca de Campos,34001,DISTINTIVO C,Áreas no urbanas,0,Palencia,43,5,0,0,NA,4.09,NA
Abarca de Campos,34001,ECO,Áreas no urbanas,0,Palencia,43,5,0,0,NA,3.95,NA
Abarca de Campos,34001,SIN DISTINTIVO,Áreas no urbanas,5,Palencia,43,5,100,116.28,21.4,19.31,2.09
Abarán,30002,CERO,Áreas no urbanas,0,Murcia,12992,79,0,0,NA,4.01,NA
Abarán,30002,DISTINTIVO B,Áreas no urbanas,2,Murcia,12992,79,2.53,0.15,11,11.64,-0.64
Abarán,30002,DISTINTIVO C,Áreas no urbanas,0,Murcia,12992,79,0,0,NA,4.09,NA
Abarán,30002,ECO,Áreas no urbanas,0,Murcia,12992,79,0,0,NA,3.95,NA
Abarán,30002,SIN DISTINTIVO,Áreas no urbanas,77,Murcia,12992,79,97.47,5.93,22.12,19.31,2.81
Abaurregaina/Abaurrea Alta,31003,CERO,Áreas no urbanas,0,Navarra,120,5,0,0,NA,4.01,NA
Abaurregaina/Abaurrea Alta,31003,DISTINTIVO B,Áreas no urbanas,0,Navarra,120,5,0,0,NA,11.64,NA
Abaurregaina/Abaurrea Alta,31003,DISTINTIVO C,Áreas no urbanas,0,Navarra,120,5,0,0,NA,4.09,NA
Abaurregaina/Abaurrea Alta,31003,ECO,Áreas no urbanas,0,Navarra,120,5,0,0,NA,3.95,NA
Abaurregaina/Abaurrea Alta,31003,SIN DISTINTIVO,Áreas no urbanas,5,Navarra,120,5,100,41.67,25,19.31,5.69
Abaurrepea/Abaurrea Baja,31004,DISTINTIVO B,Áreas no urbanas,0,Navarra,31,3,0,0,NA,11.64,NA
Abaurrepea/Abaurrea Baja,31004,DISTINTIVO C,Áreas no urbanas,0,Navarra,31,3,0,0,NA,4.09,NA
Abaurrepea/Abaurrea Baja,31004,SIN DISTINTIVO,Áreas no urbanas,3,Navarra,31,3,100,96.77,15.33,19.31,-3.97
Abegondo,15001,CERO,Grandes áreas urbanas,0,A Coruña,5534,142,0,0,NA,4.01,NA
Abegondo,15001,DISTINTIVO B,Grandes áreas urbanas,11,A Coruña,5534,142,7.75,1.99,8.36,11.64,-3.27
Abegondo,15001,DISTINTIVO C,Grandes áreas urbanas,11,A Coruña,5534,142,7.75,1.99,3.45,4.09,-0.63
Abegondo,15001,ECO,Grandes áreas urbanas,0,A Coruña,5534,142,0,0,NA,3.95,NA
Abegondo,15001,SIN DISTINTIVO,Grandes áreas urbanas,120,A Coruña,5534,142,84.51,21.68,19.03,19.31,-0.27
Abejar,42001,DISTINTIVO B,Áreas no urbanas,1,Soria,273,7,14.29,3.66,7,11.64,-4.64
Abejar,42001,DISTINTIVO C,Áreas no urbanas,2,Soria,273,7,28.57,7.33,5.5,4.09,1.41
Abejar,42001,ECO,Áreas no urbanas,0,Soria,273,7,0,0,NA,3.95,NA
Abejar,42001,SIN DISTINTIVO,Áreas no urbanas,4,Soria,273,7,57.14,14.65,19.75,19.31,0.44
Abejuela,44002,DISTINTIVO B,Áreas no urbanas,0,Teruel,56,1,0,0,NA,11.64,NA
Abejuela,44002,DISTINTIVO C,Áreas no urbanas,0,Teruel,56,1,0,0,NA,4.09,NA
Abejuela,44002,SIN DISTINTIVO,Áreas no urbanas,1,Teruel,56,1,100,17.86,6,19.31,-13.31
Abella de la Conca,25001,CERO,Áreas no urbanas,0,Lleida,167,12,0,0,NA,4.01,NA
