recuento,fecuencia_supera,tipo,temp,date,indicativo,inicio_serie
391,34,Máximas,5,01-01,2150H,1977-01-01
802,69.7,Minimas,-4.5,01-01,2150H,1977-01-01
520,45.3,Máximas,10.8,01-01,8368U,1986-04-01
570,49.7,Minimas,-2.2,01-01,8368U,1986-04-01
378,18.3,Máximas,19.3,01-01,7209,1955-01-01
550,26.7,Minimas,5.8,01-01,7209,1955-01-01
351,18.3,Máximas,16.5,01-01,1109,1953-09-12
296,15.4,Minimas,9.6,01-01,1109,1953-09-12
189,40,Máximas,12.2,01-01,4147X,2006-11-09
139,29.4,Minimas,2.5,01-01,4147X,2006-11-09
132,23.2,Máximas,14.9,01-01,1210X,1997-06-01
90,15.8,Minimas,10.9,01-01,1210X,1997-06-01
500,46.1,Máximas,9,01-01,2465,1988-10-01
409,37.7,Minimas,1.4,01-01,2465,1988-10-01
629,57.4,Máximas,11.2,01-01,3100B,1976-04-01
472,43.1,Minimas,1.1,01-01,3100B,1976-04-01
361,24.4,Máximas,11.8,01-01,2870,1970-01-01
719,48.5,Minimas,0.2,01-01,2870,1970-01-01
88,5.7,Máximas,23.4,01-01,C929I,1973-12-01
764,49.3,Minimas,16.8,01-01,C929I,1973-12-01
193,8.8,Máximas,22.9,01-01,C649I,1951-01-01
567,25.8,Minimas,15.9,01-01,C649I,1951-01-01
1221,49.3,Máximas,6.7,01-01,2331,1943-08-01
586,23.6,Minimas,1.9,01-01,2331,1943-08-01
358,11.8,Máximas,14.5,01-01,0200E,1920-01-01
554,18.2,Minimas,7.6,01-01,0200E,1920-01-01
197,59.3,Máximas,10,01-01,4090Y,2008-09-14
159,47.9,Minimas,-0.9,01-01,4090Y,2008-09-14
94,27.6,Máximas,13.9,01-01,1249X,2012-03-01
97,28.4,Minimas,6.3,01-01,1249X,2012-03-01
210,35.1,Máximas,16.8,01-01,5298X,2001-01-01
244,40.9,Minimas,2.8,01-01,5298X,2001-01-01
214,34.3,Máximas,5.6,01-01,3266A,1997-01-01
313,50.2,Minimas,-1.5,01-01,3266A,1997-01-01
154,22.3,Máximas,14,01-01,5911A,2000-02-01
250,36.2,Minimas,4.1,01-01,5911A,2000-02-01
189,26.7,Máximas,11.1,01-01,3110C,1997-01-01
237,33.5,Minimas,0.4,01-01,3110C,1997-01-01
176,22.8,Máximas,15.6,01-01,5704B,1997-01-29
208,26.9,Minimas,4,01-01,5704B,1997-01-29
415,49.6,Máximas,10,01-01,9381I,1992-08-01
375,44.8,Minimas,-1,01-01,9381I,1992-08-01
494,38.9,Máximas,12.5,01-01,8178D,1983-01-01
442,34.8,Minimas,2.2,01-01,8178D,1983-01-01
1550,64.3,Máximas,10.2,01-01,1428,1943-11-01
909,37.7,Minimas,5,01-01,1428,1943-11-01
116,24.9,Máximas,13.8,01-01,4386B,2007-06-01
56,12,Minimas,7.9,01-01,4386B,2007-06-01
280,45.2,Máximas,8.9,01-01,2117D,2002-04-16
256,41.3,Minimas,-0.7,01-01,2117D,2002-04-16
410,62.3,Máximas,11.4,01-01,3519X,1999-03-24
437,66.4,Minimas,2.6,01-01,3519X,1999-03-24
329,43.9,Máximas,14.6,01-01,0201D,1994-04-21
317,42.3,Minimas,8.6,01-01,0201D,1994-04-21
517,55.1,Máximas,11.3,01-01,8309X,1991-01-10
338,36,Minimas,1.3,01-01,8309X,1991-01-10
366,40,Máximas,8.8,01-01,B248,1971-04-01
263,28.7,Minimas,4.9,01-01,B248,1971-04-01
299,33.1,Máximas,12.8,01-01,1400,1951-01-01
266,29.5,Minimas,9.5,01-01,1400,1951-01-01
297,13.7,Máximas,18.7,01-01,5960,1946-02-01
751,34.6,Minimas,7.1,01-01,5960,1946-02-01
852,29.8,Máximas,10.4,01-01,2614,1920-02-01
791,27.7,Minimas,3.3,01-01,2614,1920-02-01
167,43.4,Máximas,10.8,01-01,3298X,2006-11-03
209,54.3,Minimas,2.2,01-01,3298X,2006-11-03
132,25.8,Máximas,7.4,01-01,2491C,2001-12-17
347,67.8,Minimas,-4.1,01-01,2491C,2001-12-17
32,22.9,Máximas,14.8,01-01,1057B,1997-04-01
15,10.7,Minimas,10.9,01-01,1057B,1997-04-01
506,51.6,Máximas,15.7,01-01,B569X,1989-01-01
301,30.7,Minimas,11.5,01-01,B569X,1989-01-01
135,20.3,Máximas,20.2,01-01,6367B,1988-04-07
263,39.5,Minimas,5.8,01-01,6367B,1988-04-07
560,36.1,Máximas,9.7,01-01,2422,1973-10-01
654,42.2,Minimas,0.8,01-01,2422,1973-10-01
334,21.1,Máximas,16,01-01,5530E,1972-07-01
