cod_ine,cod_region_iso,nom_region_iso,indicativo,nom_mun,prov_isla,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre_clean
36052,713602,Interior de Ponteve,1428,Silleda,Pontevedra,6.85,11.1,no hace calor,"-1,8",2.6,hace mucho frío,"-3,1",2024-03-05,20:30:00,Santiago de Compostela Aeropuerto
36053,713601,Rías Baixas,1495,Soutomaior,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36054,713603,Miño de Pontevedra,1495,Tomiño,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36055,713603,Miño de Pontevedra,1495,Tui,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36056,713601,Rías Baixas,1484C,Valga,Pontevedra,9.95,14.5,el calor es normal,"+0,1",5.4,hace mucho frío,-2,2024-03-05,20:30:00,Pontevedra
36057,713601,Rías Baixas,1495,Vigo,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36058,713601,Rías Baixas,1484,Vilaboa,Pontevedra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36059,713602,Interior de Ponteve,1428,Vila de Cruces,Pontevedra,6.85,11.1,no hace calor,"-1,8",2.6,hace mucho frío,"-3,1",2024-03-05,20:30:00,Santiago de Compostela Aeropuerto
36060,713601,Rías Baixas,1484,Vilagarcía de Arousa,Pontevedra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36061,713601,Rías Baixas,1484,Vilanova de Arousa,Pontevedra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36901,713601,Rías Baixas,1484,"Illa de Arousa, A",Pontevedra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36902,713602,Interior de Ponteve,1484C,Cerdedo-Cotobade,Pontevedra,9.95,14.5,el calor es normal,"+0,1",5.4,hace mucho frío,-2,2024-03-05,20:30:00,Pontevedra
37001,673701,Meseta de Salamanca,2946X,Abusejo,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37002,673702,Sistema Central de Salamanca,2491C,Agallas,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37003,673701,Meseta de Salamanca,2946X,Ahigal de los Aceiteros,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37004,673701,Meseta de Salamanca,2916A,Ahigal de Villarino,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37005,673701,Meseta de Salamanca,2946X,"Alameda de Gardón, La",Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37006,673701,Meseta de Salamanca,2946X,"Alamedilla, La",Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37007,673701,Meseta de Salamanca,2867,Alaraz,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37008,673701,Meseta de Salamanca,2867,Alba de Tormes,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37009,673701,Meseta de Salamanca,2946X,Alba de Yeltes,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37010,673702,Sistema Central de Salamanca,2491C,"Alberca, La",Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
