fecha,indicativo,nombre_completo,provincia_clean,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-04,3129,Madrid Aeropuerto (Madrid),Madrid,6.1,3.4,2.7,6.1,3.4,"+2,7", 4 mar.,▲,#cb181d
2024-03-05,2462,Puerto de Navacerrada (Madrid),Madrid,-3.5,-3,-0.5,-3,-3.5,"-0,5", 5 mar.,▼,#2171b5
2024-03-05,3111D,Somosierra (Madrid),Madrid,-1.4,-1,-0.4,-1,-1.4,"-0,4", 5 mar.,▼,#2171b5
2024-03-05,3195,"Madrid, Retiro (Madrid)",Madrid,5.3,5,0.3,5.3,5,"+0,3", 5 mar.,▲,#cb181d
2024-03-05,3191E,Colmenar Viejo (Madrid),Madrid,2.5,1.7,0.8,2.5,1.7,"+0,8", 5 mar.,▲,#cb181d
2024-03-05,3100B,Aranjuez (Madrid),Madrid,0.1,3.5,-3.4,3.5,0.1,"-3,4", 5 mar.,▼,#2171b5
2024-03-05,3266A,Puerto Alto del León (Madrid),Madrid,-1.9,-2.8,0.9,-1.9,-2.8,"+0,9", 5 mar.,▲,#cb181d
2024-03-05,3110C,Buitrago del Lozoya (Madrid),Madrid,-0.5,0.3,-0.8,0.3,-0.5,"-0,8", 5 mar.,▼,#2171b5
2024-03-05,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,3.3,NA,NA,NA,NA, 5 mar.,NA,NA
2024-03-05,3129,Madrid Aeropuerto (Madrid),Madrid,1.1,3.7,-2.6,3.7,1.1,"-2,6", 5 mar.,▼,#2171b5
2024-03-06,2462,Puerto de Navacerrada (Madrid),Madrid,-2.9,-3.6,0.7,-2.9,-3.6,"+0,7", 6 mar.,▲,#cb181d
2024-03-06,3111D,Somosierra (Madrid),Madrid,-2.4,-1.9,-0.5,-1.9,-2.4,"-0,5", 6 mar.,▼,#2171b5
2024-03-06,3195,"Madrid, Retiro (Madrid)",Madrid,NA,5.4,NA,NA,NA,NA, 6 mar.,NA,NA
2024-03-06,3191E,Colmenar Viejo (Madrid),Madrid,1.3,3.5,-2.2,3.5,1.3,"-2,2", 6 mar.,▼,#2171b5
2024-03-06,3100B,Aranjuez (Madrid),Madrid,-0.9,2.2,-3.1,2.2,-0.9,"-3,1", 6 mar.,▼,#2171b5
2024-03-06,3266A,Puerto Alto del León (Madrid),Madrid,-1.3,-2.9,1.6,-1.3,-2.9,"+1,6", 6 mar.,▲,#cb181d
2024-03-06,3110C,Buitrago del Lozoya (Madrid),Madrid,-3.2,1.9,-5.1,1.9,-3.2,"-5,1", 6 mar.,▼,#2171b5
2024-03-06,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,3.5,NA,NA,NA,NA, 6 mar.,NA,NA
2024-03-06,3129,Madrid Aeropuerto (Madrid),Madrid,-0.6,3.4,-4,3.4,-0.6,-4, 6 mar.,▼,#2171b5
2024-03-07,3111D,Somosierra (Madrid),Madrid,-0.5,-1.9,1.4,-0.5,-1.9,"+1,4", 7 mar.,▲,#cb181d
2024-03-07,3195,"Madrid, Retiro (Madrid)",Madrid,NA,5.2,NA,NA,NA,NA, 7 mar.,NA,NA
2024-03-07,3191E,Colmenar Viejo (Madrid),Madrid,0.6,3.5,-2.9,3.5,0.6,"-2,9", 7 mar.,▼,#2171b5
2024-03-07,3100B,Aranjuez (Madrid),Madrid,4,3.5,0.5,4,3.5,"+0,5", 7 mar.,▲,#cb181d
2024-03-07,3266A,Puerto Alto del León (Madrid),Madrid,-2.1,-2,-0.1,-2,-2.1,"-0,1", 7 mar.,▼,#2171b5
2024-03-07,3110C,Buitrago del Lozoya (Madrid),Madrid,0.5,2.8,-2.3,2.8,0.5,"-2,3", 7 mar.,▼,#2171b5
2024-03-07,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,3.5,NA,NA,NA,NA, 7 mar.,NA,NA
2024-03-07,3129,Madrid Aeropuerto (Madrid),Madrid,1.8,3.1,-1.3,3.1,1.8,"-1,3", 7 mar.,▼,#2171b5
2024-03-07,2462,Puerto de Navacerrada (Madrid),Madrid,-3.7,-2,-1.7,-2,-3.7,"-1,7", 7 mar.,▼,#2171b5
2024-03-08,2462,Puerto de Navacerrada (Madrid),Madrid,-3.9,-1,-2.9,-1,-3.9,"-2,9", 8 mar.,▼,#2171b5
2024-03-08,3111D,Somosierra (Madrid),Madrid,-1.9,0.5,-2.4,0.5,-1.9,"-2,4", 8 mar.,▼,#2171b5
2024-03-08,3195,"Madrid, Retiro (Madrid)",Madrid,4.4,5.3,-0.9,5.3,4.4,"-0,9", 8 mar.,▼,#2171b5
