fecha,indicativo,nombre_completo,provincia_clean,tmax,tmax_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-10,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,24.1,22.1,2,24.1,22.1,+2,10 mar.,▲,#cb181d
2024-03-11,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,21.6,21.8,-0.2,21.8,21.6,"-0,2",11 mar.,▼,#2171b5
2024-03-11,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,23.5,22.9,0.6,23.5,22.9,"+0,6",11 mar.,▲,#cb181d
2024-03-11,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,20.7,20.9,-0.2,20.9,20.7,"-0,2",11 mar.,▼,#2171b5
2024-03-11,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,23.8,23.4,0.4,23.8,23.4,"+0,4",11 mar.,▲,#cb181d
2024-03-11,C229J,Pájara (Las Palmas),Las Palmas,22.6,22.8,-0.2,22.8,22.6,"-0,2",11 mar.,▼,#2171b5
2024-03-11,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,22.1,20.8,1.3,22.1,20.8,"+1,3",11 mar.,▲,#cb181d
2024-03-11,C689E,Maspalomas (Las Palmas),Las Palmas,NA,22.4,NA,NA,NA,NA,11 mar.,NA,NA
2024-03-11,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,22.7,21.9,0.8,22.7,21.9,"+0,8",11 mar.,▲,#cb181d
2024-03-12,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,21,22.1,-1.1,22.1,21,"-1,1",12 mar.,▼,#2171b5
2024-03-12,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,22.1,22.3,-0.2,22.3,22.1,"-0,2",12 mar.,▼,#2171b5
2024-03-12,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,21.8,21.2,0.6,21.8,21.2,"+0,6",12 mar.,▲,#cb181d
2024-03-12,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,21.9,23.6,-1.7,23.6,21.9,"-1,7",12 mar.,▼,#2171b5
2024-03-12,C229J,Pájara (Las Palmas),Las Palmas,21.4,22.3,-0.9,22.3,21.4,"-0,9",12 mar.,▼,#2171b5
