Series,Localidad,Administración,Recep.,Domicilio,Provincia,Teléfono,Calle,Número,Premio,Valor,Dirección,Latitude,Longitude,premios_serie
0.1,CHICLANA DE LA FRONTERA,,21610,"CUESTA DEL MATADERO, 88",CÁDIZ,956403359,"Cuesta Del Matadero, 88",88979,5º Premio,"6,000","Cuesta Del Matadero, 88, Chiclana De La Frontera, Cádiz",36.4135356,-6.1436065,6000
0.1,EL PUERTO DE SANTAMARIA,,21900,"VALDÉS, 43",CÁDIZ,956852656,"Valdés, 43",88979,5º Premio,"6,000","Valdés, 43, El Puerto De Santamaria, Cádiz",36.5981484,-6.2368405,6000
0.1,JEREZ DE LA FRONTERA,,42175,"AVDA. SAN JUAN BOSCO, 27 L- A",CÁDIZ,956355768,"Avda. San Juan Bosco, 27 L- A",88979,5º Premio,"6,000","Avda. San Juan Bosco, 27 L- A, Jerez De La Frontera, Cádiz",36.6938346,-6.144387,6000
0.1,JEREZ DE LA FRONTERA,16,42200,"ENRIQUE DOMINGUEZ RODIÑO, EDIF HUELVA II LOC 12",CÁDIZ,956320438,"Enrique Dominguez Rodiño, Edif Huelva Ii Loc 12",88979,5º Premio,"6,000","Enrique Dominguez Rodiño, Edif Huelva Ii Loc 12, Jerez De La Frontera, Cádiz",36.6921746,-6.1290005,6000
0.1,LA LINEA DE LA CONCEPCION,,22565,PADRE PANDELO S/N (ESQUINA RIO ROSAS),CÁDIZ,956762020,Padre Pandelo S/N (Esquina Rio Rosas),88979,5º Premio,"6,000","Padre Pandelo S/N (Esquina Rio Rosas), La Linea De La Concepcion, Cádiz",36.1700723,-5.3460052,6000
0.1,LOS BARRIOS,3,22730,C.C. CARREFOUR -CRTA. CADIZ MALAGA 112,CÁDIZ,956678049,C.C. Carrefour -Crta. Cadiz Malaga 112,88979,5º Premio,"6,000","C.C. Carrefour -Crta. Cadiz Malaga 112, Los Barrios, Cádiz",36.1803298,-5.4416827,6000
0.1,PUERTO REAL,,21815,"CONCEPCION, 61",CÁDIZ,856134653,"Concepcion, 61",88979,5º Premio,"6,000","Concepcion, 61, Puerto Real, Cádiz",36.5293171,-6.1856256,6000
0.1,BOO,,69980,"URB. RIA DEL PAS, S/N",CANTABRIA,942746906,"Urb. Ria Del Pas, S/N",88979,5º Premio,"6,000","Urb. Ria Del Pas, S/N, Boo, Cantabria",43.423662,-3.9491577,6000
0.1,LOS CORRALES DE BUELNA,,69600,"AVDA. CANTABRIA, 23",CANTABRIA,942841778,"Avda. Cantabria, 23",88979,5º Premio,"6,000","Avda. Cantabria, 23, Los Corrales De Buelna, Cantabria",43.2607047,-4.0691508,6000
0.1,BENICASIM,,24145,"SANTO TOMÁS, 119",CASTELLÓN,964303929,"Santo Tomás, 119",88979,5º Premio,"6,000","Santo Tomás, 119, Benicasim, Castellón",40.05642,0.06585,6000
0.1,BURRIANA,,24040,"GENERALITAT VALENCIANA, 8",CASTELLÓN,964511328,"Generalitat Valenciana, 8",88979,5º Premio,"6,000","Generalitat Valenciana, 8, Burriana, Castellón",39.8894,-0.08531,6000
0.1,CASTELLON DE LA PLANA,,23105,"AVDA. ALCORA,98",CASTELLÓN,964240243,"Avda. Alcora,98",88979,5º Premio,"6,000","Avda. Alcora,98, Castellon De La Plana, Castellón",39.9869488,-0.0583608,6000
0.1,MONCOFA,1,24315,"CAMI LA VALL, 5",CASTELLÓN,964580188,"Cami La Vall, 5",88979,5º Premio,"6,000","Cami La Vall, 5, Moncofa, Castellón",39.8076652,-0.1465269,6000
0.1,MORELLA,1,24350,"JUAN GINER, 16",CASTELLÓN,964160021,"Juan Giner, 16",88979,5º Premio,"6,000","Juan Giner, 16, Morella, Castellón",40.6208484,-0.0992208,6000
0.1,SAN MATEO,,24025,"PLAZA MAYOR, 11",CASTELLÓN,964416054,"Plaza Mayor, 11",88979,5º Premio,"6,000","Plaza Mayor, 11, San Mateo, Castellón",40.4655072,0.1796532,6000
0.1,CEUTA,,25010,"MARINA ESPAÑOLA, 72",CEUTA,956510641,"Marina Española, 72",88979,5º Premio,"6,000","Marina Española, 72, Ceuta, Ceuta",35.8907173,-5.3042129,6000
0.1,ALCÁZAR DE SAN JUAN,4,26845,"C.C. CARREFOUR, CRRTA. HERENCIA S/N LOC.10",CIUDAD REAL,926682712,"C.C. Carrefour, Crrta. Herencia S/N Loc.10",88979,5º Premio,"6,000","C.C. Carrefour, Crrta. Herencia S/N Loc.10, Alcázar De San Juan, Ciudad Real",39.3858342,-3.2364784,6000
0.1,PORZUNA,,26420,"CARRETERA TOLEDO, 36",CIUDAD REAL,926780137,"Carretera Toledo, 36",88979,5º Premio,"6,000","Carretera Toledo, 36, Porzuna, Ciudad Real",39.1500585,-4.1565545,6000
0.1,RUTE,2,27820,"JUAN CARLOS I, 17",CÓRDOBA,957532474,"Juan Carlos I, 17",88979,5º Premio,"6,000","Juan Carlos I, 17, Rute, Córdoba",37.3660404,-4.3770704,6000
0.1,CASTRELOS,,30725,"LUGAR DE CASTRELOS, 51 (LEIRA)",CORUÑA (A),981680917,"Lugar De Castrelos, 51 (Leira)",88979,5º Premio,"6,000","Lugar De Castrelos, 51 (Leira), Castrelos, Coruña (A)",42.210304,-8.7246069,6000
0.1,CORUÑA (A),,29940,"AVDA. DE OZA, 84",CORUÑA (A),981291532,"Avda. De Oza, 84",88979,5º Premio,"6,000","Avda. De Oza, 84, Coruña (A), Coruña (A)",43.3545371,-8.3981781,6000
0.1,CORUÑA (A),5,29975,"CONCEPCION ARENAL, 17",CORUÑA (A),981291317,"Concepcion Arenal, 17",88979,5º Premio,"6,000","Concepcion Arenal, 17, Coruña (A), Coruña (A)",43.3568026,-8.403924,6000
0.1,CORUÑA (A),,29750,"RONDA DE NELLE, 113",CORUÑA (A),981273333,"Ronda De Nelle, 113",88979,5º Premio,"6,000","Ronda De Nelle, 113, Coruña (A), Coruña (A)",43.3627743,-8.417204,6000
